pickup_zone,avg_tip_percentage,bkt_trip_distance,val_start,val_end
19,0.07806650628379296,0,0E-12,2981.0954655035120
193,0.07715800373181227,0,0E-12,2981.0954655035120
65,0.07642859112004836,0,0E-12,2981.0954655035120
245,0.07538128586881053,0,0E-12,2981.0954655035120
17,0.07534945098654737,0,0E-12,2981.0954655035120
34,0.07465223806081273,0,0E-12,2981.0954655035120
83,0.07414198629448751,0,0E-12,2981.0954655035120
221,0.07406952076975788,0,0E-12,2981.0954655035120
132,0.07402528492904097,0,0E-12,2981.0954655035120
109,0.07395845223428775,0,0E-12,2981.0954655035120
199,0.07374253776116411,0,0E-12,2981.0954655035120
86,0.07344549087911612,0,0E-12,2981.0954655035120
53,0.07336276980954144,0,0E-12,2981.0954655035120
116,0.07335295928246545,0,0E-12,2981.0954655035120
