pickup_zone,avg_tip_percentage,bkt_passenger_count,val_start,val_end
106,0.11137256640028602,0,0E-15,1.3248908386648290
52,0.11122169859033332,3,3.974672515994487,5.2995633546593160
113,0.1111882315823151,1,1.324890838664829,2.6497816773296580
256,0.11111111111133333,2,2.649781677329658,3.9746725159944870
51,0.11081713560510144,0,0E-15,1.3248908386648290
64,0.11063235240032561,3,3.974672515994487,5.2995633546593160
215,0.11061402240564884,0,0E-15,1.3248908386648290
172,0.11055242506445939,1,1.324890838664829,2.6497816773296580
172,0.11052014527437073,4,5.299563354659316,6.6244541933241450
171,0.11048730833994783,2,2.649781677329658,3.9746725159944870
87,0.11043242172304431,3,3.974672515994487,5.2995633546593160
248,0.11014969874311535,4,5.299563354659316,6.6244541933241450
106,0.10999667236994755,4,5.299563354659316,6.6244541933241450
255,0.10978743993261351,3,3.974672515994487,5.2995633546593160
85,0.10971375185584625,0,0E-15,1.3248908386648290
238,0.10956236745720001,2,2.649781677329658,3.9746725159944870
235,0.10934132653932663,3,3.974672515994487,5.2995633546593160
75,0.10911243801831388,0,0E-15,1.3248908386648290
235,0.10910896298844688,1,1.324890838664829,2.6497816773296580
8,0.1090338705773526,3,3.974672515994487,5.2995633546593160
106,0.1089094506838854,1,1.324890838664829,2.6497816773296580
248,0.10885934612436432,1,1.324890838664829,2.6497816773296580
75,0.10872663280177787,4,5.299563354659316,6.6244541933241450
75,0.10839863726087988,1,1.324890838664829,2.6497816773296580
8,0.10838432935992537,1,1.324890838664829,2.6497816773296580
164,0.1083443949555084,0,0E-15,1.3248908386648290
145,0.10829051010567871,1,1.324890838664829,2.6497816773296580
145,0.10821495380442049,4,5.299563354659316,6.6244541933241450
30,0.10810898518186689,0,0E-15,1.3248908386648290
87,0.108080400810371,2,2.649781677329658,3.9746725159944870
106,0.10800097949499056,3,3.974672515994487,5.2995633546593160
92,0.10795640075397095,0,0E-15,1.3248908386648290
136,0.10791106702690806,0,0E-15,1.3248908386648290
114,0.10788476248849457,0,0E-15,1.3248908386648290
75,0.10786375199162761,3,3.974672515994487,5.2995633546593160
132,0.10781169634257,4,5.299563354659316,6.6244541933241450
224,0.10775862068975,0,0E-15,1.3248908386648290
248,0.10773358421903864,3,3.974672515994487,5.2995633546593160
130,0.10769230769225,4,5.299563354659316,6.6244541933241450
30,0.10755558732657565,3,3.974672515994487,5.2995633546593160
191,0.10755458590539743,1,1.324890838664829,2.6497816773296580
48,0.10754320411033334,4,5.299563354659316,6.6244541933241450
215,0.1075367916856291,4,5.299563354659316,6.6244541933241450
145,0.10746228866048249,0,0E-15,1.3248908386648290
164,0.1074260127387049,4,5.299563354659316,6.6244541933241450
122,0.10737768758881874,1,1.324890838664829,2.6497816773296580
36,0.10731103947887194,3,3.974672515994487,5.2995633546593160
36,0.10719132988350638,0,0E-15,1.3248908386648290
106,0.10716356880493907,2,2.649781677329658,3.9746725159944870
85,0.10708065720426062,4,5.299563354659316,6.6244541933241450
239,0.107051961824,5,6.624454193324145,7.9493450319889740
41,0.10694656227368016,0,0E-15,1.3248908386648290
64,0.10691129094224001,2,2.649781677329658,3.9746725159944870
174,0.10685708819273793,0,0E-15,1.3248908386648290
136,0.10679337895205504,4,5.299563354659316,6.6244541933241450
114,0.10663713345062449,4,5.299563354659316,6.6244541933241450
16,0.106224771617,1,1.324890838664829,2.6497816773296580
75,0.10619764689372335,2,2.649781677329658,3.9746725159944870
253,0.10609168764840944,1,1.324890838664829,2.6497816773296580
235,0.10608839366907433,2,2.649781677329658,3.9746725159944870
172,0.10595034853659537,3,3.974672515994487,5.2995633546593160
179,0.10588224100643334,0,0E-15,1.3248908386648290
136,0.10574634042899309,1,1.324890838664829,2.6497816773296580
220,0.10563665603316588,3,3.974672515994487,5.2995633546593160
136,0.10560746931444322,3,3.974672515994487,5.2995633546593160
248,0.10553271683470102,2,2.649781677329658,3.9746725159944870
36,0.10528425043944385,2,2.649781677329658,3.9746725159944870
30,0.10524519465677594,2,2.649781677329658,3.9746725159944870
112,0.10519289919128501,0,0E-15,1.3248908386648290
197,0.10508557684070541,2,2.649781677329658,3.9746725159944870
36,0.10506603814507412,1,1.324890838664829,2.6497816773296580
114,0.10501218001591098,1,1.324890838664829,2.6497816773296580
113,0.10501029028660194,3,3.974672515994487,5.2995633546593160
154,0.10497001742694653,0,0E-15,1.3248908386648290
180,0.10486185468227614,4,5.299563354659316,6.6244541933241450
164,0.10463310440194248,3,3.974672515994487,5.2995633546593160
41,0.10460983550839609,4,5.299563354659316,6.6244541933241450
145,0.1045587851808261,2,2.649781677329658,3.9746725159944870
215,0.1045180891479186,3,3.974672515994487,5.2995633546593160
226,0.10437762052379275,0,0E-15,1.3248908386648290
253,0.10426025797079226,2,2.649781677329658,3.9746725159944870
136,0.10419461499990998,2,2.649781677329658,3.9746725159944870
114,0.10406945664547627,3,3.974672515994487,5.2995633546593160
-1,0.1038277218043749,4,5.299563354659316,6.6244541933241450
226,0.1037964209960503,1,1.324890838664829,2.6497816773296580
196,0.10378993286308351,1,1.324890838664829,2.6497816773296580
191,0.10375893643507883,2,2.649781677329658,3.9746725159944870
22,0.10374348609656929,4,5.299563354659316,6.6244541933241450
105,0.10372207759727806,4,5.299563354659316,6.6244541933241450
