pickup_zone,avg_tip_percentage,bkt_total_amount,val_start,val_end
74,0.4224902197113333,30,133.9841105104390,170.39691419412030
141,0.412541254125,31,170.3969141941203,206.80971787780160
72,0.398724082935,33,243.2225215614829,279.63532524516420
186,0.382609369782,27,24.7456994593951,61.15850314307640
17,0.3734199971,28,61.1585031430764,97.57130682675770
223,0.37297202490566667,28,61.1585031430764,97.57130682675770
82,0.37080984871,30,133.9841105104390,170.39691419412030
0,0.3581992579545,28,61.1585031430764,97.57130682675770
114,0.35808628151099997,31,170.3969141941203,206.80971787780160
215,0.337879096275,39,461.6993436635707,498.11214734725200
15,0.3355374929935,30,133.9841105104390,170.39691419412030
251,0.3339269813,28,61.1585031430764,97.57130682675770
227,0.333111259161,38,425.2865399798894,461.69934366357070
116,0.3326683152996666,33,243.2225215614829,279.63532524516420
239,0.331077808957,53,971.4785952351089,1007.89139891879020
180,0.330782852752,34,279.6353252451642,316.04812892884550
117,0.3274393764433333,41,534.5249510309333,570.93775471461460
79,0.3184367332633333,29,97.5713068267577,133.98411051043900
17,0.3182195266745,31,170.3969141941203,206.80971787780160
161,0.309491059147,34,279.6353252451642,316.04812892884550
253,0.29828461158905,31,170.3969141941203,206.80971787780160
34,0.293599530241,30,133.9841105104390,170.39691419412030
-1,0.29121134088252854,38,425.2865399798894,461.69934366357070
49,0.2905052921922727,28,61.1585031430764,97.57130682675770
113,0.2897717686326,29,97.5713068267577,133.98411051043900
130,0.2894695295232,28,61.1585031430764,97.57130682675770
235,0.2886836027715,33,243.2225215614829,279.63532524516420
96,0.28783354717959997,29,97.5713068267577,133.98411051043900
84,0.2872545250598,27,24.7456994593951,61.15850314307640
14,0.28572155247,31,170.3969141941203,206.80971787780160
5,0.285719988822,40,498.1121473472520,534.52495103093330
31,0.285717892398,37,388.8737362962081,425.28653997988940
245,0.285717392723,38,425.2865399798894,461.69934366357070
117,0.285716298666,45,680.1761657656585,716.58896944933980
71,0.285714285714,36,352.4609326125268,388.87373629620810
82,0.285714285714,35,316.0481289288455,352.46093261252680
5,0.285714285714,42,570.9377547146146,607.35055839829590
