pickup_zone,avg_trip_distance,bkt_total_amount,val_start,val_end
131,29.9,53,971.4785952351089,1007.89139891879020
154,29.858125,32,206.8097178778016,243.22252156148290
128,29.85,33,243.2225215614829,279.63532524516420
178,29.78,29,97.5713068267577,133.98411051043900
236,29.58,29,97.5713068267577,133.98411051043900
45,29.535,29,97.5713068267577,133.98411051043900
86,29.3,39,461.6993436635707,498.11214734725200
25,29.2,33,243.2225215614829,279.63532524516420
114,29.11,31,170.3969141941203,206.80971787780160
240,29.05,33,243.2225215614829,279.63532524516420
221,29.04,32,206.8097178778016,243.22252156148290
164,28.76,33,243.2225215614829,279.63532524516420
164,28.617142857142856,31,170.3969141941203,206.80971787780160
136,28.544,31,170.3969141941203,206.80971787780160
157,28.3775,30,133.9841105104390,170.39691419412030
196,28.33,29,97.5713068267577,133.98411051043900
208,28.276666666666667,30,133.9841105104390,170.39691419412030
154,28.03516666666667,31,170.3969141941203,206.80971787780160
65,27.97,33,243.2225215614829,279.63532524516420
161,27.89,33,243.2225215614829,279.63532524516420
145,27.881666666666664,31,170.3969141941203,206.80971787780160
227,27.88,31,170.3969141941203,206.80971787780160
41,27.87,32,206.8097178778016,243.22252156148290
8,27.846666666666664,31,170.3969141941203,206.80971787780160
245,27.585,37,388.8737362962081,425.28653997988940
117,27.5328125,31,170.3969141941203,206.80971787780160
194,27.4,30,133.9841105104390,170.39691419412030
172,26.973333333333333,30,133.9841105104390,170.39691419412030
235,26.951428571428576,31,170.3969141941203,206.80971787780160
219,26.82695652173913,30,133.9841105104390,170.39691419412030
68,26.8,33,243.2225215614829,279.63532524516420
137,26.71742690058478,30,133.9841105104390,170.39691419412030
87,26.695714285714285,30,133.9841105104390,170.39691419412030
85,26.687586206896555,30,133.9841105104390,170.39691419412030
128,26.622682926829263,30,133.9841105104390,170.39691419412030
41,26.607999999999997,31,170.3969141941203,206.80971787780160
145,26.560000000000002,34,279.6353252451642,316.04812892884550
9,26.515,29,97.5713068267577,133.98411051043900
176,26.38,28,61.1585031430764,97.57130682675770
172,26.34,31,170.3969141941203,206.80971787780160
43,26.166666666666668,30,133.9841105104390,170.39691419412030
41,26.16038461538462,30,133.9841105104390,170.39691419412030
131,26.06784489187175,29,97.5713068267577,133.98411051043900
225,25.9,29,97.5713068267577,133.98411051043900
240,25.894444444444442,31,170.3969141941203,206.80971787780160
196,25.8275,30,133.9841105104390,170.39691419412030
154,25.802727272727267,30,133.9841105104390,170.39691419412030
181,25.677999999999997,28,61.1585031430764,97.57130682675770
25,25.64,31,170.3969141941203,206.80971787780160
164,25.583000000000002,30,133.9841105104390,170.39691419412030
39,25.53,30,133.9841105104390,170.39691419412030
135,25.4,29,97.5713068267577,133.98411051043900
83,25.35,32,206.8097178778016,243.22252156148290
126,25.083333333333332,29,97.5713068267577,133.98411051043900
92,25.03,31,170.3969141941203,206.80971787780160
223,24.93,29,97.5713068267577,133.98411051043900
64,24.8,29,97.5713068267577,133.98411051043900
12,24.76,29,97.5713068267577,133.98411051043900
229,24.658636363636365,30,133.9841105104390,170.39691419412030
78,24.61428571428571,29,97.5713068267577,133.98411051043900
235,24.331249999999997,30,133.9841105104390,170.39691419412030
25,24.186,30,133.9841105104390,170.39691419412030
70,24.172105263157892,30,133.9841105104390,170.39691419412030
47,24.06,29,97.5713068267577,133.98411051043900
221,23.804166666666664,29,97.5713068267577,133.98411051043900
239,23.739500000000003,30,133.9841105104390,170.39691419412030
197,23.5,29,97.5713068267577,133.98411051043900
178,23.48,30,133.9841105104390,170.39691419412030
191,23.398571428571426,29,97.5713068267577,133.98411051043900
36,23.304999999999996,29,97.5713068267577,133.98411051043900
76,23.25,28,61.1585031430764,97.57130682675770
247,23.11,31,170.3969141941203,206.80971787780160
136,23.07181818181818,30,133.9841105104390,170.39691419412030
49,22.91,30,133.9841105104390,170.39691419412030
97,22.9,32,206.8097178778016,243.22252156148290
193,22.8,29,97.5713068267577,133.98411051043900
208,22.78,31,170.3969141941203,206.80971787780160
94,22.733333333333334,29,97.5713068267577,133.98411051043900
245,22.729999999999997,34,279.6353252451642,316.04812892884550
194,22.71,29,97.5713068267577,133.98411051043900
144,22.7,32,206.8097178778016,243.22252156148290
117,22.627108433734932,30,133.9841105104390,170.39691419412030
199,22.62,30,133.9841105104390,170.39691419412030
129,22.61,29,97.5713068267577,133.98411051043900
220,22.6,29,97.5713068267577,133.98411051043900
182,22.6,30,133.9841105104390,170.39691419412030
178,22.5,31,170.3969141941203,206.80971787780160
71,22.4625,29,97.5713068267577,133.98411051043900
74,22.439999999999998,30,133.9841105104390,170.39691419412030
253,22.42,32,206.8097178778016,243.22252156148290
10,22.39,30,133.9841105104390,170.39691419412030
56,22.256666666666664,28,61.1585031430764,97.57130682675770
82,22.2,30,133.9841105104390,170.39691419412030
181,22.1,29,97.5713068267577,133.98411051043900
6,22.080000000000002,30,133.9841105104390,170.39691419412030
5,22.03,28,61.1585031430764,97.57130682675770
219,22.025555555555556,29,97.5713068267577,133.98411051043900
6,22.009615384615383,29,97.5713068267577,133.98411051043900
72,21.971666666666664,29,97.5713068267577,133.98411051043900
221,21.951428571428572,31,170.3969141941203,206.80971787780160
240,21.905714285714286,30,133.9841105104390,170.39691419412030
116,21.904102564102566,29,97.5713068267577,133.98411051043900
10,21.8,29,97.5713068267577,133.98411051043900
249,21.8,28,61.1585031430764,97.57130682675770
106,21.759999999999998,30,133.9841105104390,170.39691419412030
39,21.735,31,170.3969141941203,206.80971787780160
50,21.7,30,133.9841105104390,170.39691419412030
157,21.655609756097565,29,97.5713068267577,133.98411051043900
92,21.536666666666672,32,206.8097178778016,243.22252156148290
201,21.44,29,97.5713068267577,133.98411051043900
49,21.433333333333334,29,97.5713068267577,133.98411051043900
-1,21.425555555555555,39,461.6993436635707,498.11214734725200
160,21.383333333333336,28,61.1585031430764,97.57130682675770
68,21.30857142857143,30,133.9841105104390,170.39691419412030
