pickup_zone,avg_passenger_count,bkt_trip_distance,val_start,val_end
34,1.6545454545454545,0,0E-12,2981.0954655035120
226,1.6520633012820514,0,0E-12,2981.0954655035120
192,1.6510903426791277,0,0E-12,2981.0954655035120
164,1.6490453395460585,0,0E-12,2981.0954655035120
243,1.64797507788162,0,0E-12,2981.0954655035120
49,1.6416775884665793,0,0E-12,2981.0954655035120
228,1.6405228758169934,0,0E-12,2981.0954655035120
15,1.6404458598726115,0,0E-12,2981.0954655035120
126,1.638991389913899,0,0E-12,2981.0954655035120
219,1.6364634816035146,0,0E-12,2981.0954655035120
61,1.6357931183726466,0,0E-12,2981.0954655035120
206,1.6356589147286822,0,0E-12,2981.0954655035120
73,1.6349206349206349,0,0E-12,2981.0954655035120
18,1.6339285714285714,0,0E-12,2981.0954655035120
201,1.6336996336996337,0,0E-12,2981.0954655035120
