pickup_zone,avg_trip_distance,bkt_passenger_count,val_start,val_end
154,8.885,5,6.624454193324145,7.9493450319889740
152,8.842,4,5.299563354659316,6.6244541933241450
25,8.818936170212766,3,3.974672515994487,5.2995633546593160
77,8.81,1,1.324890838664829,2.6497816773296580
77,8.768333333333333,0,0E-15,1.3248908386648290
66,8.716666666666667,0,0E-15,1.3248908386648290
10,8.684444444444445,0,0E-15,1.3248908386648290
169,8.67,0,0E-15,1.3248908386648290
181,8.644,4,5.299563354659316,6.6244541933241450
225,8.633333333333333,1,1.324890838664829,2.6497816773296580
194,8.603333333333333,2,2.649781677329658,3.9746725159944870
196,8.593,3,3.974672515994487,5.2995633546593160
174,8.563333333333333,1,1.324890838664829,2.6497816773296580
69,8.378333333333334,3,3.974672515994487,5.2995633546593160
199,8.36228346456693,1,1.324890838664829,2.6497816773296580
208,8.295,1,1.324890838664829,2.6497816773296580
12,8.23,4,5.299563354659316,6.6244541933241450
92,8.220740740740743,4,5.299563354659316,6.6244541933241450
97,8.200714285714287,1,1.324890838664829,2.6497816773296580
242,8.193333333333333,2,2.649781677329658,3.9746725159944870
31,8.137894736842105,2,2.649781677329658,3.9746725159944870
156,8.118181818181817,0,0E-15,1.3248908386648290
25,8.041022443890274,0,0E-15,1.3248908386648290
174,8.015,2,2.649781677329658,3.9746725159944870
210,7.935,0,0E-15,1.3248908386648290
122,7.928,3,3.974672515994487,5.2995633546593160
177,7.925000000000001,0,0E-15,1.3248908386648290
251,7.869999999999999,3,3.974672515994487,5.2995633546593160
156,7.849999999999999,1,1.324890838664829,2.6497816773296580
20,7.83,1,1.324890838664829,2.6497816773296580
163,7.822,2,2.649781677329658,3.9746725159944870
252,7.7775,1,1.324890838664829,2.6497816773296580
82,7.754,0,0E-15,1.3248908386648290
44,7.753333333333333,1,1.324890838664829,2.6497816773296580
25,7.731097560975609,1,1.324890838664829,2.6497816773296580
63,7.663333333333334,4,5.299563354659316,6.6244541933241450
28,7.6,1,1.324890838664829,2.6497816773296580
175,7.597142857142857,2,2.649781677329658,3.9746725159944870
178,7.473333333333334,2,2.649781677329658,3.9746725159944870
1,7.386666666666667,0,0E-15,1.3248908386648290
82,7.36,2,2.649781677329658,3.9746725159944870
175,7.356249999999999,4,5.299563354659316,6.6244541933241450
208,7.323333333333333,3,3.974672515994487,5.2995633546593160
196,7.288235294117646,1,1.324890838664829,2.6497816773296580
194,7.284999999999999,1,1.324890838664829,2.6497816773296580
115,7.28,0,0E-15,1.3248908386648290
153,7.1000000000000005,0,0E-15,1.3248908386648290
44,7.073333333333333,0,0E-15,1.3248908386648290
251,7.065,2,2.649781677329658,3.9746725159944870
230,7.054285714285714,1,1.324890838664829,2.6497816773296580
31,7.05076923076923,1,1.324890838664829,2.6497816773296580
4,7.0175,1,1.324890838664829,2.6497816773296580
170,6.935,0,0E-15,1.3248908386648290
99,6.908333333333334,1,1.324890838664829,2.6497816773296580
256,6.9034615384615385,1,1.324890838664829,2.6497816773296580
238,6.812,4,5.299563354659316,6.6244541933241450
57,6.81,4,5.299563354659316,6.6244541933241450
74,6.805054945054945,1,1.324890838664829,2.6497816773296580
7,6.8,3,3.974672515994487,5.2995633546593160
133,6.799444444444444,4,5.299563354659316,6.6244541933241450
50,6.79,3,3.974672515994487,5.2995633546593160
257,6.756666666666667,1,1.324890838664829,2.6497816773296580
20,6.751666666666665,0,0E-15,1.3248908386648290
