pickup_zone,avg_total_amount,bkt_passenger_count,val_start,val_end
31,41.99473684210526,2,2.649781677329658,3.9746725159944870
189,41.88,0,0E-15,1.3248908386648290
137,41.67633335096107,1,1.324890838664829,2.6497816773296580
137,41.651562533148564,2,2.649781677329658,3.9746725159944870
50,41.62,2,2.649781677329658,3.9746725159944870
31,41.49442307692308,1,1.324890838664829,2.6497816773296580
251,41.483103448275855,0,0E-15,1.3248908386648290
25,41.466807980049936,0,0E-15,1.3248908386648290
69,41.355000000000004,3,3.974672515994487,5.2995633546593160
97,41.32599999999999,2,2.649781677329658,3.9746725159944870
204,41.32,0,0E-15,1.3248908386648290
137,41.178388877562725,0,0E-15,1.3248908386648290
137,41.07965868342907,3,3.974672515994487,5.2995633546593160
99,40.86666666666667,3,3.974672515994487,5.2995633546593160
248,40.775,5,6.624454193324145,7.9493450319889740
137,40.70010380993101,4,5.299563354659316,6.6244541933241450
208,39.974999999999994,1,1.324890838664829,2.6497816773296580
146,39.96,3,3.974672515994487,5.2995633546593160
152,39.958,4,5.299563354659316,6.6244541933241450
7,39.736,1,1.324890838664829,2.6497816773296580
34,39.63333333333333,2,2.649781677329658,3.9746725159944870
20,39.53750000000001,0,0E-15,1.3248908386648290
4,39.49333333333333,0,0E-15,1.3248908386648290
102,39.39333333333334,0,0E-15,1.3248908386648290
176,39.3,0,0E-15,1.3248908386648290
205,39.23333333333333,0,0E-15,1.3248908386648290
17,38.846666666666664,1,1.324890838664829,2.6497816773296580
25,38.576808510638294,3,3.974672515994487,5.2995633546593160
154,38.25714285714286,6,7.949345031988974,9.2742358706538030
25,37.9801219512195,1,1.324890838664829,2.6497816773296580
142,37.90555555555556,0,0E-15,1.3248908386648290
78,37.8,4,5.299563354659316,6.6244541933241450
178,37.760000000000005,4,5.299563354659316,6.6244541933241450
54,37.644285714285715,0,0E-15,1.3248908386648290
217,37.404999999999994,0,0E-15,1.3248908386648290
199,37.02750000000001,4,5.299563354659316,6.6244541933241450
256,36.808076923076925,1,1.324890838664829,2.6497816773296580
0,36.57,2,2.649781677329658,3.9746725159944870
122,36.408,3,3.974672515994487,5.2995633546593160
76,36.32,4,5.299563354659316,6.6244541933241450
74,36.15322580645161,2,2.649781677329658,3.9746725159944870
210,35.975,0,0E-15,1.3248908386648290
129,35.24,4,5.299563354659316,6.6244541933241450
122,35.046,2,2.649781677329658,3.9746725159944870
109,34.83578947368421,1,1.324890838664829,2.6497816773296580
247,34.81333333333333,3,3.974672515994487,5.2995633546593160
13,34.32,3,3.974672515994487,5.2995633546593160
44,34.31333333333333,0,0E-15,1.3248908386648290
71,34.17514285714286,2,2.649781677329658,3.9746725159944870
257,34.13333333333333,1,1.324890838664829,2.6497816773296580
4,34.099999999999994,1,1.324890838664829,2.6497816773296580
13,34.015,2,2.649781677329658,3.9746725159944870
199,33.96838383838384,0,0E-15,1.3248908386648290
20,33.78,1,1.324890838664829,2.6497816773296580
117,33.666666666666664,6,7.949345031988974,9.2742358706538030
13,33.636,0,0E-15,1.3248908386648290
156,33.52,1,1.324890838664829,2.6497816773296580
84,33.188,1,1.324890838664829,2.6497816773296580
35,32.896875,2,2.649781677329658,3.9746725159944870
17,32.821071428571436,0,0E-15,1.3248908386648290
74,32.678571428571416,1,1.324890838664829,2.6497816773296580
115,32.63333333333333,0,0E-15,1.3248908386648290
181,32.482000000000006,4,5.299563354659316,6.6244541933241450
156,32.26,2,2.649781677329658,3.9746725159944870
174,32.105,2,2.649781677329658,3.9746725159944870
69,31.940952380952368,0,0E-15,1.3248908386648290
70,31.625685618729133,2,2.649781677329658,3.9746725159944870
151,31.61333333333334,2,2.649781677329658,3.9746725159944870
174,31.34,3,3.974672515994487,5.2995633546593160
