pickup_zone,avg_tip_amount,bkt_passenger_count,val_start,val_end
150,3.0644864864864867,1,1.324890838664829,2.6497816773296580
59,3.0125,0,0E-15,1.3248908386648290
222,3.0,1,1.324890838664829,2.6497816773296580
2,3.0,2,2.649781677329658,3.9746725159944870
178,2.98497005988024,0,0E-15,1.3248908386648290
31,2.959009287925697,0,0E-15,1.3248908386648290
168,2.953333333333333,0,0E-15,1.3248908386648290
52,2.9457142857142853,1,1.324890838664829,2.6497816773296580
188,2.9415789473684213,4,5.299563354659316,6.6244541933241450
50,2.8877419354838714,0,0E-15,1.3248908386648290
26,2.86,2,2.649781677329658,3.9746725159944870
9,2.8453947368421053,0,0E-15,1.3248908386648290
9,2.8442857142857143,4,5.299563354659316,6.6244541933241450
208,2.8200000000000003,3,3.974672515994487,5.2995633546593160
70,2.818026755852843,2,2.649781677329658,3.9746725159944870
134,2.8155555555555556,4,5.299563354659316,6.6244541933241450
77,2.78,1,1.324890838664829,2.6497816773296580
174,2.747586206896552,0,0E-15,1.3248908386648290
70,2.741952529452529,0,0E-15,1.3248908386648290
199,2.7365000000000004,4,5.299563354659316,6.6244541933241450
19,2.735555555555555,1,1.324890838664829,2.6497816773296580
251,2.73,3,3.974672515994487,5.2995633546593160
28,2.7183333333333333,0,0E-15,1.3248908386648290
165,2.7175000000000002,3,3.974672515994487,5.2995633546593160
252,2.7125,1,1.324890838664829,2.6497816773296580
13,2.6941818181818182,0,0E-15,1.3248908386648290
255,2.6933333333333334,2,2.649781677329658,3.9746725159944870
58,2.6857894736842107,4,5.299563354659316,6.6244541933241450
256,2.678076923076923,1,1.324890838664829,2.6497816773296580
256,2.6733333333333333,2,2.649781677329658,3.9746725159944870
129,2.67,4,5.299563354659316,6.6244541933241450
255,2.663243243243243,3,3.974672515994487,5.2995633546593160
51,2.6606382978723406,4,5.299563354659316,6.6244541933241450
133,2.6456716417910444,1,1.324890838664829,2.6497816773296580
76,2.6,0,0E-15,1.3248908386648290
74,2.5951704545454546,0,0E-15,1.3248908386648290
184,2.58,4,5.299563354659316,6.6244541933241450
58,2.572564766839378,0,0E-15,1.3248908386648290
88,2.566936416184971,0,0E-15,1.3248908386648290
130,2.56,4,5.299563354659316,6.6244541933241450
58,2.559310344827586,2,2.649781677329658,3.9746725159944870
4,2.55,1,1.324890838664829,2.6497816773296580
74,2.546923076923077,4,5.299563354659316,6.6244541933241450
17,2.5385714285714287,3,3.974672515994487,5.2995633546593160
58,2.534494382022472,1,1.324890838664829,2.6497816773296580
208,2.5083333333333333,1,1.324890838664829,2.6497816773296580
60,2.49,1,1.324890838664829,2.6497816773296580
242,2.4499999999999997,2,2.649781677329658,3.9746725159944870
228,2.4206250000000002,2,2.649781677329658,3.9746725159944870
85,2.3833970117312444,0,0E-15,1.3248908386648290
117,2.37,5,6.624454193324145,7.9493450319889740
18,2.3606896551724135,0,0E-15,1.3248908386648290
99,2.36,4,5.299563354659316,6.6244541933241450
150,2.353133187772925,0,0E-15,1.3248908386648290
85,2.3500033624747805,4,5.299563354659316,6.6244541933241450
8,2.3416029411764834,0,0E-15,1.3248908386648290
63,2.341176470588235,3,3.974672515994487,5.2995633546593160
222,2.3407692307692307,0,0E-15,1.3248908386648290
175,2.3404672897196264,0,0E-15,1.3248908386648290
95,2.3375,4,5.299563354659316,6.6244541933241450
94,2.3212371134020615,3,3.974672515994487,5.2995633546593160
84,2.3211764705882354,0,0E-15,1.3248908386648290
139,2.3,1,1.324890838664829,2.6497816773296580
9,2.2958064516129033,3,3.974672515994487,5.2995633546593160
158,2.2943125,0,0E-15,1.3248908386648290
192,2.293529411764706,4,5.299563354659316,6.6244541933241450
133,2.286060606060606,0,0E-15,1.3248908386648290
35,2.279375,2,2.649781677329658,3.9746725159944870
85,2.269983827067966,1,1.324890838664829,2.6497816773296580
194,2.268,3,3.974672515994487,5.2995633546593160
30,2.26625759416768,3,3.974672515994487,5.2995633546593160
30,2.2649999999999997,2,2.649781677329658,3.9746725159944870
51,2.2630769230769228,3,3.974672515994487,5.2995633546593160
70,2.251008130081301,3,3.974672515994487,5.2995633546593160
122,2.25,2,2.649781677329658,3.9746725159944870
197,2.2465860215053763,0,0E-15,1.3248908386648290
197,2.2464705882352938,1,1.324890838664829,2.6497816773296580
74,2.245604395604396,1,1.324890838664829,2.6497816773296580
51,2.2433771929824555,2,2.649781677329658,3.9746725159944870
206,2.236907216494845,1,1.324890838664829,2.6497816773296580
97,2.2360714285714285,1,1.324890838664829,2.6497816773296580
8,2.2350576854174093,1,1.324890838664829,2.6497816773296580
8,2.235053329489766,4,5.299563354659316,6.6244541933241450
35,2.2317370892018777,0,0E-15,1.3248908386648290
51,2.2306537186167685,0,0E-15,1.3248908386648290
70,2.229496124031008,4,5.299563354659316,6.6244541933241450
212,2.229,4,5.299563354659316,6.6244541933241450
255,2.2275675675675677,1,1.324890838664829,2.6497816773296580
30,2.217395534489206,0,0E-15,1.3248908386648290
36,2.2167065868263474,4,5.299563354659316,6.6244541933241450
60,2.2155555555555555,0,0E-15,1.3248908386648290
64,2.212659574468085,4,5.299563354659316,6.6244541933241450
85,2.2105343069915384,3,3.974672515994487,5.2995633546593160
64,2.206695652173913,2,2.649781677329658,3.9746725159944870
228,2.189516616314199,1,1.324890838664829,2.6497816773296580
220,2.1857471264367816,2,2.649781677329658,3.9746725159944870
64,2.175156739811912,0,0E-15,1.3248908386648290
8,2.1707145596318558,3,3.974672515994487,5.2995633546593160
-1,2.165714285714286,5,6.624454193324145,7.9493450319889740
74,2.1541818181818186,3,3.974672515994487,5.2995633546593160
36,2.1536846578835482,0,0E-15,1.3248908386648290
103,2.1533333333333333,4,5.299563354659316,6.6244541933241450
