pickup_zone,avg_trip_distance,bkt_tip_amount,val_start,val_end
155,23.4,92,20.5662221423960888,23.18976803524822020
145,23.4,122,99.2725989279600308,101.89614482081216220
91,23.39,94,25.8133139281003516,28.43685982095248300
221,23.366666666666664,91,17.9426762495439574,20.56622214239608880
131,23.365000000000002,141,149.1199708921505274,151.74351678500265880
196,23.255,97,33.6839516066567458,36.30749749950887720
36,23.23333333333333,92,20.5662221423960888,23.18976803524822020
247,23.11,95,28.4368598209524830,31.06040571380461440
72,23.1,114,78.2842317851429796,80.90777767799511100
219,23.094,91,17.9426762495439574,20.56622214239608880
85,23.05666666666667,103,49.4252269637695342,52.04877285662166560
248,22.995714285714286,94,25.8133139281003516,28.43685982095248300
161,22.95,93,23.1897680352482202,25.81331392810035160
235,22.903333333333336,97,33.6839516066567458,36.30749749950887720
70,22.854000000000003,97,33.6839516066567458,36.30749749950887720
41,22.833333333333332,108,62.5429564280301912,65.16650232088232260
113,22.75,92,20.5662221423960888,23.18976803524822020
229,22.723333333333333,122,99.2725989279600308,101.89614482081216220
229,22.72111111111111,97,33.6839516066567458,36.30749749950887720
144,22.7,97,33.6839516066567458,36.30749749950887720
236,22.683333333333337,89,12.6955844638396946,15.31913035669182600
227,22.68,95,28.4368598209524830,31.06040571380461440
34,22.65,90,15.3191303566918260,17.94267624954395740
145,22.65,110,67.7900482137344540,70.41359410658658540
182,22.6,89,12.6955844638396946,15.31913035669182600
128,22.58428571428571,94,25.8133139281003516,28.43685982095248300
25,22.56,96,31.0604057138046144,33.68395160665674580
-1,22.5,190,277.6737196419049660,280.29726553475709740
128,22.461111111111112,93,23.1897680352482202,25.81331392810035160
253,22.42,101,44.1781351780652714,46.80168107091740280
25,22.41,93,23.1897680352482202,25.81331392810035160
133,22.4,92,20.5662221423960888,23.18976803524822020
10,22.39,92,20.5662221423960888,23.18976803524822020
137,22.22268656716418,94,25.8133139281003516,28.43685982095248300
82,22.2,103,49.4252269637695342,52.04877285662166560
137,22.128333333333334,107,59.9194105351780598,62.54295642803019120
58,22.1,96,31.0604057138046144,33.68395160665674580
181,22.1,91,17.9426762495439574,20.56622214239608880
213,22.0,86,4.8249467852833004,7.44849267813543180
131,21.986031331592688,91,17.9426762495439574,20.56622214239608880
106,21.900000000000002,95,28.4368598209524830,31.06040571380461440
240,21.9,116,83.5313235708472424,86.15486946369937380
221,21.87666666666667,97,33.6839516066567458,36.30749749950887720
227,21.805,103,49.4252269637695342,52.04877285662166560
10,21.8,91,17.9426762495439574,20.56622214239608880
229,21.772727272727273,95,28.4368598209524830,31.06040571380461440
55,21.71,91,17.9426762495439574,20.56622214239608880
30,21.66,92,20.5662221423960888,23.18976803524822020
131,21.59181818181818,107,59.9194105351780598,62.54295642803019120
137,21.549999999999997,123,101.8961448208121622,104.51969071366429360
208,21.48,95,28.4368598209524830,31.06040571380461440
8,21.45,104,52.0487728566216656,54.67231874947379700
201,21.44,93,23.1897680352482202,25.81331392810035160
199,21.435,95,28.4368598209524830,31.06040571380461440
41,21.41380952380953,94,25.8133139281003516,28.43685982095248300
161,21.34,94,25.8133139281003516,28.43685982095248300
70,21.3072,93,23.1897680352482202,25.81331392810035160
158,21.26,87,7.4484926781354318,10.07203857098756320
154,21.2392,96,31.0604057138046144,33.68395160665674580
32,21.2,97,33.6839516066567458,36.30749749950887720
