pickup_zone,avg_passenger_count,bkt_tip_amount,val_start,val_end
78,3.0,87,7.4484926781354318,10.07203857098756320
97,3.0,103,49.4252269637695342,52.04877285662166560
142,3.0,87,7.4484926781354318,10.07203857098756320
88,3.0,93,23.1897680352482202,25.81331392810035160
74,3.0,97,33.6839516066567458,36.30749749950887720
65,3.0,92,20.5662221423960888,23.18976803524822020
135,3.0,87,7.4484926781354318,10.07203857098756320
154,3.0,198,298.6620867847220172,301.28563267757414860
194,3.0,87,7.4484926781354318,10.07203857098756320
113,3.0,95,28.4368598209524830,31.06040571380461440
71,3.0,113,75.6606858922908482,78.28423178514297960
31,3.0,130,120.2609660707770820,122.88451196362921340
136,3.0,106,57.2958646423259284,59.91941053517805980
248,3.0,114,78.2842317851429796,80.90777767799511100
191,3.0,190,277.6737196419049660,280.29726553475709740
144,3.0,87,7.4484926781354318,10.07203857098756320
75,3.0,126,109.7667824993685564,112.39032839222068780
194,3.0,89,12.6955844638396946,15.31913035669182600
43,3.0,92,20.5662221423960888,23.18976803524822020
41,3.0,83,-3.0456908932730938,-0.42214500042096240
240,3.0,108,62.5429564280301912,65.16650232088232260
141,3.0,114,78.2842317851429796,80.90777767799511100
88,3.0,138,141.2493332135941332,143.87287910644626460
107,3.0,84,-0.4221450004209624,2.20140089243116900
259,3.0,92,20.5662221423960888,23.18976803524822020
106,3.0,97,33.6839516066567458,36.30749749950887720
191,3.0,103,49.4252269637695342,52.04877285662166560
114,3.0,104,52.0487728566216656,54.67231874947379700
-1,3.0,184,261.9324442847921776,264.55599017764430900
201,3.0,91,17.9426762495439574,20.56622214239608880
75,3.0,98,36.3074974995088772,38.93104339236100860
72,3.0,99,38.9310433923610086,41.55458928521314000
239,3.0,116,83.5313235708472424,86.15486946369937380
167,3.0,84,-0.4221450004209624,2.20140089243116900
33,3.0,107,59.9194105351780598,62.54295642803019120
253,3.0,95,28.4368598209524830,31.06040571380461440
239,3.0,138,141.2493332135941332,143.87287910644626460
238,3.0,92,20.5662221423960888,23.18976803524822020
25,3.0,91,17.9426762495439574,20.56622214239608880
-1,3.0,125,107.1432366065164250,109.76678249936855640
192,3.0,88,10.0720385709875632,12.69558446383969460
163,3.0,86,4.8249467852833004,7.44849267813543180
161,3.0,90,15.3191303566918260,17.94267624954395740
118,3.0,86,4.8249467852833004,7.44849267813543180
212,3.0,94,25.8133139281003516,28.43685982095248300
201,3.0,88,10.0720385709875632,12.69558446383969460
251,3.0,86,4.8249467852833004,7.44849267813543180
117,3.0,116,83.5313235708472424,86.15486946369937380
50,3.0,89,12.6955844638396946,15.31913035669182600
87,3.0,83,-3.0456908932730938,-0.42214500042096240
135,3.0,91,17.9426762495439574,20.56622214239608880
155,3.0,87,7.4484926781354318,10.07203857098756320
71,3.0,90,15.3191303566918260,17.94267624954395740
161,3.0,89,12.6955844638396946,15.31913035669182600
156,3.0,85,2.2014008924311690,4.82494678528330040
235,3.0,141,149.1199708921505274,151.74351678500265880
160,3.0,90,15.3191303566918260,17.94267624954395740
2,3.0,85,2.2014008924311690,4.82494678528330040
181,2.857142857142857,86,4.8249467852833004,7.44849267813543180
255,2.8,87,7.4484926781354318,10.07203857098756320
9,2.8,88,10.0720385709875632,12.69558446383969460
184,2.75,85,2.2014008924311690,4.82494678528330040
75,2.75,96,31.0604057138046144,33.68395160665674580
117,2.75,110,67.7900482137344540,70.41359410658658540
114,2.75,95,28.4368598209524830,31.06040571380461440
106,2.6666666666666665,95,28.4368598209524830,31.06040571380461440
215,2.6666666666666665,105,54.6723187494737970,57.29586464232592840
156,2.6666666666666665,88,10.0720385709875632,12.69558446383969460
235,2.6666666666666665,99,38.9310433923610086,41.55458928521314000
52,2.6666666666666665,88,10.0720385709875632,12.69558446383969460
198,2.6666666666666665,90,15.3191303566918260,17.94267624954395740
181,2.6666666666666665,88,10.0720385709875632,12.69558446383969460
72,2.6666666666666665,94,25.8133139281003516,28.43685982095248300
113,2.6,90,15.3191303566918260,17.94267624954395740
28,2.5555555555555554,84,-0.4221450004209624,2.20140089243116900
145,2.5,99,38.9310433923610086,41.55458928521314000
249,2.5,85,2.2014008924311690,4.82494678528330040
114,2.5,105,54.6723187494737970,57.29586464232592840
191,2.5,93,23.1897680352482202,25.81331392810035160
13,2.5,88,10.0720385709875632,12.69558446383969460
245,2.5,118,88.7784153565515052,91.40196124940363660
99,2.5,87,7.4484926781354318,10.07203857098756320
137,2.5,105,54.6723187494737970,57.29586464232592840
221,2.5,92,20.5662221423960888,23.18976803524822020
240,2.5,105,54.6723187494737970,57.29586464232592840
147,2.5,86,4.8249467852833004,7.44849267813543180
73,2.5,87,7.4484926781354318,10.07203857098756320
145,2.5,103,49.4252269637695342,52.04877285662166560
41,2.5,118,88.7784153565515052,91.40196124940363660
196,2.5,101,44.1781351780652714,46.80168107091740280
31,2.5,91,17.9426762495439574,20.56622214239608880
189,2.5,84,-0.4221450004209624,2.20140089243116900
154,2.5,118,88.7784153565515052,91.40196124940363660
248,2.5,118,88.7784153565515052,91.40196124940363660
222,2.4516129032258065,84,-0.4221450004209624,2.20140089243116900
191,2.4285714285714284,90,15.3191303566918260,17.94267624954395740
129,2.4285714285714284,86,4.8249467852833004,7.44849267813543180
178,2.4285714285714284,89,12.6955844638396946,15.31913035669182600
150,2.4285714285714284,90,15.3191303566918260,17.94267624954395740
152,2.4,86,4.8249467852833004,7.44849267813543180
235,2.375,103,49.4252269637695342,52.04877285662166560
5,2.375,84,-0.4221450004209624,2.20140089243116900
72,2.3636363636363638,93,23.1897680352482202,25.81331392810035160
212,2.357142857142857,87,7.4484926781354318,10.07203857098756320
