pickup_zone,avg_passenger_count,bkt_tip_percentage,val_start,val_end
223,1.7916666666666667,895,-0.06705895627458830,0.021506713420412160
39,1.7910974072433647,895,-0.06705895627458830,0.021506713420412160
-1,1.7891156462585034,904,0.73003207098041584,0.818597740675416300
64,1.787621359223301,895,-0.06705895627458830,0.021506713420412160
25,1.7857142857142858,896,0.02150671342041216,0.110072383115412620
137,1.7843274055161358,895,-0.06705895627458830,0.021506713420412160
39,1.7834866340902558,898,0.19863805281041308,0.287203722505413540
92,1.779527559055118,895,-0.06705895627458830,0.021506713420412160
144,1.7786259541984732,895,-0.06705895627458830,0.021506713420412160
9,1.7777777777777777,898,0.19863805281041308,0.287203722505413540
109,1.7777777777777777,897,0.11007238311541262,0.198638052810413080
216,1.7777777777777777,896,0.02150671342041216,0.110072383115412620
175,1.7777777777777777,898,0.19863805281041308,0.287203722505413540
194,1.7777777777777777,898,0.19863805281041308,0.287203722505413540
212,1.7735849056603774,897,0.11007238311541262,0.198638052810413080
141,1.7731453096259964,898,0.19863805281041308,0.287203722505413540
172,1.7694413614502404,895,-0.06705895627458830,0.021506713420412160
151,1.7692307692307692,897,0.11007238311541262,0.198638052810413080
95,1.7692307692307692,897,0.11007238311541262,0.198638052810413080
203,1.7674418604651163,895,-0.06705895627458830,0.021506713420412160
41,1.7647058823529411,902,0.55290073159041492,0.641466401285415380
253,1.7647058823529411,903,0.64146640128541538,0.730032070980415840
39,1.7647058823529411,903,0.64146640128541538,0.730032070980415840
249,1.7647058823529411,897,0.11007238311541262,0.198638052810413080
68,1.7586206896551724,899,0.28720372250541354,0.375769392200414000
196,1.7586206896551724,897,0.11007238311541262,0.198638052810413080
192,1.7575757575757576,896,0.02150671342041216,0.110072383115412620
64,1.7557471264367817,898,0.19863805281041308,0.287203722505413540
86,1.7544910179640718,898,0.19863805281041308,0.287203722505413540
51,1.7541899441340782,898,0.19863805281041308,0.287203722505413540
72,1.7538461538461538,900,0.37576939220041400,0.464335061895414460
8,1.7536817271947382,895,-0.06705895627458830,0.021506713420412160
33,1.7526881720430108,896,0.02150671342041216,0.110072383115412620
92,1.7517985611510791,897,0.11007238311541262,0.198638052810413080
229,1.7504814962196578,895,-0.06705895627458830,0.021506713420412160
225,1.75,895,-0.06705895627458830,0.021506713420412160
118,1.75,898,0.19863805281041308,0.287203722505413540
242,1.75,895,-0.06705895627458830,0.021506713420412160
132,1.75,899,0.28720372250541354,0.375769392200414000
170,1.75,895,-0.06705895627458830,0.021506713420412160
147,1.75,895,-0.06705895627458830,0.021506713420412160
58,1.75,899,0.28720372250541354,0.375769392200414000
133,1.75,896,0.02150671342041216,0.110072383115412620
70,1.75,900,0.37576939220041400,0.464335061895414460
44,1.75,895,-0.06705895627458830,0.021506713420412160
74,1.75,899,0.28720372250541354,0.375769392200414000
86,1.75,902,0.55290073159041492,0.641466401285415380
151,1.75,896,0.02150671342041216,0.110072383115412620
8,1.75,903,0.64146640128541538,0.730032070980415840
71,1.75,900,0.37576939220041400,0.464335061895414460
17,1.75,895,-0.06705895627458830,0.021506713420412160
75,1.7493090294433404,898,0.19863805281041308,0.287203722505413540
33,1.7477592829705506,898,0.19863805281041308,0.287203722505413540
25,1.7465277777777777,895,-0.06705895627458830,0.021506713420412160
229,1.7464114832535884,901,0.46433506189541446,0.552900731590414920
145,1.7429078014184398,898,0.19863805281041308,0.287203722505413540
145,1.7426700269771405,895,-0.06705895627458830,0.021506713420412160
137,1.7419354838709677,902,0.55290073159041492,0.641466401285415380
245,1.7417746759720838,898,0.19863805281041308,0.287203722505413540
237,1.7413793103448276,895,-0.06705895627458830,0.021506713420412160
178,1.7407407407407407,898,0.19863805281041308,0.287203722505413540
-1,1.7403314917127073,903,0.64146640128541538,0.730032070980415840
160,1.7394366197183098,895,-0.06705895627458830,0.021506713420412160
70,1.738944365192582,898,0.19863805281041308,0.287203722505413540
85,1.7387189685914142,895,-0.06705895627458830,0.021506713420412160
39,1.738464598249801,896,0.02150671342041216,0.110072383115412620
116,1.7384615384615385,900,0.37576939220041400,0.464335061895414460
117,1.7380952380952381,904,0.73003207098041584,0.818597740675416300
49,1.7379679144385027,896,0.02150671342041216,0.110072383115412620
150,1.7370129870129871,897,0.11007238311541262,0.198638052810413080
118,1.7365591397849462,895,-0.06705895627458830,0.021506713420412160
75,1.7361111111111112,902,0.55290073159041492,0.641466401285415380
253,1.7349453978159126,898,0.19863805281041308,0.287203722505413540
240,1.7349397590361446,903,0.64146640128541538,0.730032070980415840
30,1.7340496977837474,898,0.19863805281041308,0.287203722505413540
215,1.7328385899814471,895,-0.06705895627458830,0.021506713420412160
53,1.7318435754189945,897,0.11007238311541262,0.198638052810413080
113,1.7317073170731707,899,0.28720372250541354,0.375769392200414000
235,1.7313432835820894,901,0.46433506189541446,0.552900731590414920
171,1.7310701956271577,898,0.19863805281041308,0.287203722505413540
39,1.7308491230605278,897,0.11007238311541262,0.198638052810413080
131,1.728366773595808,895,-0.06705895627458830,0.021506713420412160
116,1.7281591263650546,898,0.19863805281041308,0.287203722505413540
64,1.727475800446761,897,0.11007238311541262,0.198638052810413080
105,1.7272727272727273,899,0.28720372250541354,0.375769392200414000
15,1.7272727272727273,906,0.90716341037041676,0.995729080065417220
86,1.7265469061876249,897,0.11007238311541262,0.198638052810413080
248,1.7248674987177295,895,-0.06705895627458830,0.021506713420412160
72,1.724057293189126,898,0.19863805281041308,0.287203722505413540
45,1.723712342079689,895,-0.06705895627458830,0.021506713420412160
197,1.7236180904522613,897,0.11007238311541262,0.198638052810413080
114,1.7222222222222223,901,0.46433506189541446,0.552900731590414920
154,1.7218462630724847,895,-0.06705895627458830,0.021506713420412160
43,1.7215938750652515,895,-0.06705895627458830,0.021506713420412160
39,1.7210526315789474,899,0.28720372250541354,0.375769392200414000
157,1.7205259638956987,898,0.19863805281041308,0.287203722505413540
41,1.7204301075268817,903,0.64146640128541538,0.730032070980415840
150,1.7202453987730062,895,-0.06705895627458830,0.021506713420412160
216,1.72,897,0.11007238311541262,0.198638052810413080
18,1.72,897,0.11007238311541262,0.198638052810413080
141,1.7193338748984566,897,0.11007238311541262,0.198638052810413080
220,1.7190332326283988,898,0.19863805281041308,0.287203722505413540
33,1.7180519956060052,895,-0.06705895627458830,0.021506713420412160
243,1.7179487179487178,898,0.19863805281041308,0.287203722505413540
131,1.7179487179487178,900,0.37576939220041400,0.464335061895414460
36,1.7176406335335883,895,-0.06705895627458830,0.021506713420412160
248,1.7155161775956957,898,0.19863805281041308,0.287203722505413540
114,1.7152777777777777,900,0.37576939220041400,0.464335061895414460
30,1.7146464646464648,896,0.02150671342041216,0.110072383115412620
73,1.7142857142857142,895,-0.06705895627458830,0.021506713420412160
131,1.7142857142857142,902,0.55290073159041492,0.641466401285415380
93,1.7142857142857142,896,0.02150671342041216,0.110072383115412620
36,1.7142857142857142,900,0.37576939220041400,0.464335061895414460
18,1.7142857142857142,896,0.02150671342041216,0.110072383115412620
192,1.7142857142857142,898,0.19863805281041308,0.287203722505413540
8,1.7142857142857142,905,0.81859774067541630,0.907163410370416760
71,1.7142857142857142,902,0.55290073159041492,0.641466401285415380
180,1.7141979102642901,898,0.19863805281041308,0.287203722505413540
235,1.7139262055438362,895,-0.06705895627458830,0.021506713420412160
117,1.7138493365442116,898,0.19863805281041308,0.287203722505413540
171,1.7138460185551598,895,-0.06705895627458830,0.021506713420412160
106,1.7130948959060486,898,0.19863805281041308,0.287203722505413540
219,1.712707182320442,898,0.19863805281041308,0.287203722505413540
114,1.711960542540074,898,0.19863805281041308,0.287203722505413540
117,1.71176761978149,895,-0.06705895627458830,0.021506713420412160
86,1.7113970588235294,895,-0.06705895627458830,0.021506713420412160
75,1.711382940108893,895,-0.06705895627458830,0.021506713420412160
137,1.7106983741248625,897,0.11007238311541262,0.198638052810413080
36,1.7103257103257103,898,0.19863805281041308,0.287203722505413540
118,1.7096774193548387,897,0.11007238311541262,0.198638052810413080
39,1.7096774193548387,902,0.55290073159041492,0.641466401285415380
165,1.7096774193548387,898,0.19863805281041308,0.287203722505413540
145,1.7096072271188099,897,0.11007238311541262,0.198638052810413080
87,1.7091913422516158,895,-0.06705895627458830,0.021506713420412160
114,1.7091105983060244,895,-0.06705895627458830,0.021506713420412160
88,1.7083333333333333,897,0.11007238311541262,0.198638052810413080
143,1.7083333333333333,901,0.46433506189541446,0.552900731590414920
219,1.707390648567119,897,0.11007238311541262,0.198638052810413080
43,1.7071524966261808,898,0.19863805281041308,0.287203722505413540
175,1.706896551724138,895,-0.06705895627458830,0.021506713420412160
131,1.7066056866721317,898,0.19863805281041308,0.287203722505413540
51,1.7062857142857142,897,0.11007238311541262,0.198638052810413080
157,1.7058823529411764,901,0.46433506189541446,0.552900731590414920
50,1.7058823529411764,895,-0.06705895627458830,0.021506713420412160
226,1.7054868792019084,898,0.19863805281041308,0.287203722505413540
240,1.7046830449556694,898,0.19863805281041308,0.287203722505413540
199,1.70446735395189,897,0.11007238311541262,0.198638052810413080
87,1.7037527176481708,898,0.19863805281041308,0.287203722505413540
239,1.7031618562985344,898,0.19863805281041308,0.287203722505413540
235,1.7031293657446214,898,0.19863805281041308,0.287203722505413540
137,1.702692177886238,898,0.19863805281041308,0.287203722505413540
229,1.7025582965876138,898,0.19863805281041308,0.287203722505413540
65,1.7024901703800785,898,0.19863805281041308,0.287203722505413540
215,1.7023591143722538,898,0.19863805281041308,0.287203722505413540
243,1.702127659574468,897,0.11007238311541262,0.198638052810413080
93,1.702127659574468,895,-0.06705895627458830,0.021506713420412160
106,1.7012539097408401,895,-0.06705895627458830,0.021506713420412160
154,1.7007606138983264,898,0.19863805281041308,0.287203722505413540
132,1.7,898,0.19863805281041308,0.287203722505413540
133,1.7,897,0.11007238311541262,0.198638052810413080
49,1.7,900,0.37576939220041400,0.464335061895414460
248,1.6991869918699187,900,0.37576939220041400,0.464335061895414460
172,1.6991732033071867,898,0.19863805281041308,0.287203722505413540
259,1.6989519335019878,895,-0.06705895627458830,0.021506713420412160
253,1.6988782051282052,895,-0.06705895627458830,0.021506713420412160
45,1.6975262368815591,898,0.19863805281041308,0.287203722505413540
41,1.6970574116605488,895,-0.06705895627458830,0.021506713420412160
