pickup_zone,avg_total_amount,bkt_tip_percentage,val_start,val_end
144,91.30000000000001,900,0.37576939220041400,0.464335061895414460
141,91.3,905,0.81859774067541630,0.907163410370416760
70,91.3,905,0.81859774067541630,0.907163410370416760
223,90.3,906,0.90716341037041676,0.995729080065417220
258,90.3,895,-0.06705895627458830,0.021506713420412160
258,90.3,897,0.11007238311541262,0.198638052810413080
32,90.0,896,0.02150671342041216,0.110072383115412620
251,89.84,899,0.28720372250541354,0.375769392200414000
208,89.70375,897,0.11007238311541262,0.198638052810413080
219,88.8,906,0.90716341037041676,0.995729080065417220
34,88.30000000000001,899,0.28720372250541354,0.375769392200414000
78,87.48,899,0.28720372250541354,0.375769392200414000
67,87.16666666666667,897,0.11007238311541262,0.198638052810413080
131,86.13109090909087,901,0.46433506189541446,0.552900731590414920
20,85.60333333333334,897,0.11007238311541262,0.198638052810413080
133,85.34,899,0.28720372250541354,0.375769392200414000
41,85.30250000000001,907,0.99572908006541722,1.084294749760417680
221,84.8,905,0.81859774067541630,0.907163410370416760
219,84.05,900,0.37576939220041400,0.464335061895414460
93,83.8,906,0.90716341037041676,0.995729080065417220
130,83.6,901,0.46433506189541446,0.552900731590414920
53,83.3,906,0.90716341037041676,0.995729080065417220
199,82.8,899,0.28720372250541354,0.375769392200414000
149,81.88,897,0.11007238311541262,0.198638052810413080
137,81.14692307692309,905,0.81859774067541630,0.907163410370416760
38,80.83,897,0.11007238311541262,0.198638052810413080
78,80.77,896,0.02150671342041216,0.110072383115412620
164,80.31,907,0.99572908006541722,1.084294749760417680
75,79.46125,906,0.90716341037041676,0.995729080065417220
131,79.26857142857143,902,0.55290073159041492,0.641466401285415380
51,78.8,902,0.55290073159041492,0.641466401285415380
41,78.6911111111111,906,0.90716341037041676,0.995729080065417220
219,77.86666666666667,903,0.64146640128541538,0.730032070980415840
83,75.84,898,0.19863805281041308,0.287203722505413540
199,75.09459459459458,898,0.19863805281041308,0.287203722505413540
142,74.38333333333334,897,0.11007238311541262,0.198638052810413080
219,74.19915151515156,896,0.02150671342041216,0.110072383115412620
154,74.03783783783783,906,0.90716341037041676,0.995729080065417220
113,73.55,906,0.90716341037041676,0.995729080065417220
92,73.548,899,0.28720372250541354,0.375769392200414000
141,73.305,906,0.90716341037041676,0.995729080065417220
2,73.3,896,0.02150671342041216,0.110072383115412620
79,73.3,904,0.73003207098041584,0.818597740675416300
221,73.19250000000001,896,0.02150671342041216,0.110072383115412620
195,73.05,895,-0.06705895627458830,0.021506713420412160
13,72.875,896,0.02150671342041216,0.110072383115412620
161,72.64000000000001,899,0.28720372250541354,0.375769392200414000
59,72.35,897,0.11007238311541262,0.198638052810413080
49,72.15555555555557,901,0.46433506189541446,0.552900731590414920
92,71.78245614035085,896,0.02150671342041216,0.110072383115412620
17,71.3,906,0.90716341037041676,0.995729080065417220
220,70.95,901,0.46433506189541446,0.552900731590414920
219,70.65541436464092,898,0.19863805281041308,0.287203722505413540
94,70.32,902,0.55290073159041492,0.641466401285415380
145,70.3,907,0.99572908006541722,1.084294749760417680
39,70.3,907,0.99572908006541722,1.084294749760417680
15,70.3,907,0.99572908006541722,1.084294749760417680
122,70.21666666666665,896,0.02150671342041216,0.110072383115412620
142,69.99,898,0.19863805281041308,0.287203722505413540
77,69.72,897,0.11007238311541262,0.198638052810413080
45,68.84,905,0.81859774067541630,0.907163410370416760
17,68.15599999999999,897,0.11007238311541262,0.198638052810413080
88,67.89625,898,0.19863805281041308,0.287203722505413540
