pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
6,285.53,97,33.6839516066567458,36.30749749950887720
92,283.56,102,46.8016810709174028,49.42522696376953420
-1,280.3,190,277.6737196419049660,280.29726553475709740
123,280.0,156,188.4731592849324984,191.09670517778462980
164,272.3,180,251.4382607133836520,254.06180660623578340
41,268.34,139,143.8728791064462646,146.49642499929839600
137,267.25,104,52.0487728566216656,54.67231874947379700
75,267.03,180,251.4382607133836520,254.06180660623578340
14,265.34,112,73.0371399994387168,75.66068589229084820
131,262.86499999999995,112,73.0371399994387168,75.66068589229084820
87,258.36,100,41.5545892852131400,44.17813517806527140
155,256.62,103,49.4252269637695342,52.04877285662166560
131,256.34,159,196.3437969634888926,198.96734285634102400
128,255.36,100,41.5545892852131400,44.17813517806527140
-1,255.3,180,251.4382607133836520,254.06180660623578340
65,255.24,106,57.2958646423259284,59.91941053517805980
97,254.88,89,12.6955844638396946,15.31913035669182600
212,253.88,103,49.4252269637695342,52.04877285662166560
20,252.8,99,38.9310433923610086,41.55458928521314000
196,252.25,101,44.1781351780652714,46.80168107091740280
72,250.8,122,99.2725989279600308,101.89614482081216220
116,250.3,141,149.1199708921505274,151.74351678500265880
154,250.3,179,248.8147148205315206,251.43826071338365200
8,249.8,122,99.2725989279600308,101.89614482081216220
131,249.56599999999997,114,78.2842317851429796,80.90777767799511100
70,247.11249999999998,100,41.5545892852131400,44.17813517806527140
25,246.41,99,38.9310433923610086,41.55458928521314000
58,245.92,91,17.9426762495439574,20.56622214239608880
15,245.63,110,67.7900482137344540,70.41359410658658540
253,243.63,96,31.0604057138046144,33.68395160665674580
241,243.3,175,238.3205312491229950,240.94407714197512640
31,243.0,130,120.2609660707770820,122.88451196362921340
131,241.16307692307691,104,52.0487728566216656,54.67231874947379700
122,240.35,99,38.9310433923610086,41.55458928521314000
41,240.3,137,138.6257873207420018,141.24933321359413320
117,239.3,168,219.9557099991580752,222.57925589201020660
248,239.02,168,219.9557099991580752,222.57925589201020660
-1,238.3,173,233.0734394634187322,235.69698535627086360
240,235.215,110,67.7900482137344540,70.41359410658658540
116,235.04,104,52.0487728566216656,54.67231874947379700
55,234.8,95,28.4368598209524830,31.06040571380461440
199,234.46,99,38.9310433923610086,41.55458928521314000
131,232.70166666666668,101,44.1781351780652714,46.80168107091740280
150,232.57,96,31.0604057138046144,33.68395160665674580
131,232.3,172,230.4498935705666008,233.07343946341873220
