pickup_zone,avg_tip_amount,bkt_trip_distance,val_start,val_end
64,2.127482968806024,0,0E-12,2981.0954655035120
36,2.126753207698474,0,0E-12,2981.0954655035120
7,2.117090909090909,0,0E-12,2981.0954655035120
-1,2.1019555454272707,0,0E-12,2981.0954655035120
35,2.076542372881356,0,0E-12,2981.0954655035120
175,2.0547435897435897,0,0E-12,2981.0954655035120
109,2.0443682310469318,0,0E-12,2981.0954655035120
97,2.0151960784313725,0,0E-12,2981.0954655035120
255,1.9912144702842371,0,0E-12,2981.0954655035120
232,1.9722222222222223,0,0E-12,2981.0954655035120
191,1.9697758364924973,0,0E-12,2981.0954655035120
63,1.945921985815603,0,0E-12,2981.0954655035120
222,1.9409756097560975,0,0E-12,2981.0954655035120
99,1.9375,0,0E-12,2981.0954655035120
220,1.9181452358926918,0,0E-12,2981.0954655035120
68,1.8972168796659503,0,0E-12,2981.0954655035120
91,1.8767384916748282,0,0E-12,2981.0954655035120
52,1.8672580645161287,0,0E-12,2981.0954655035120
12,1.8666666666666667,0,0E-12,2981.0954655035120
235,1.8610186997944487,0,0E-12,2981.0954655035120
206,1.856976744186047,0,0E-12,2981.0954655035120
158,1.8462790697674416,0,0E-12,2981.0954655035120
86,1.8353740779768173,0,0E-12,2981.0954655035120
180,1.8094511772853166,0,0E-12,2981.0954655035120
245,1.8058559256390352,0,0E-12,2981.0954655035120
57,1.8005405405405406,0,0E-12,2981.0954655035120
94,1.7955555555555556,0,0E-12,2981.0954655035120
145,1.7929042990222035,0,0E-12,2981.0954655035120
113,1.7903346058836713,0,0E-12,2981.0954655035120
22,1.781311884438606,0,0E-12,2981.0954655035120
212,1.781122994652406,0,0E-12,2981.0954655035120
253,1.7481213387407357,0,0E-12,2981.0954655035120
33,1.7478048780487794,0,0E-12,2981.0954655035120
61,1.740573468946116,0,0E-12,2981.0954655035120
105,1.739091995221027,0,0E-12,2981.0954655035120
198,1.7332832278481018,0,0E-12,2981.0954655035120
18,1.7307142857142854,0,0E-12,2981.0954655035120
19,1.711602564102564,0,0E-12,2981.0954655035120
53,1.7070189274447949,0,0E-12,2981.0954655035120
172,1.706058985363709,0,0E-12,2981.0954655035120
126,1.703972939729397,0,0E-12,2981.0954655035120
215,1.6797742976666554,0,0E-12,2981.0954655035120
171,1.6655703032934377,0,0E-12,2981.0954655035120
146,1.665,0,0E-12,2981.0954655035120
45,1.6571395028742628,0,0E-12,2981.0954655035120
75,1.6546349738306727,0,0E-12,2981.0954655035120
0,1.6537878787878788,0,0E-12,2981.0954655035120
157,1.6521366698748865,0,0E-12,2981.0954655035120
49,1.6417273918741802,0,0E-12,2981.0954655035120
248,1.6377423586755875,0,0E-12,2981.0954655035120
120,1.6357142857142857,0,0E-12,2981.0954655035120
164,1.6347959083380648,0,0E-12,2981.0954655035120
87,1.6340602574726568,0,0E-12,2981.0954655035120
90,1.6257142857142857,0,0E-12,2981.0954655035120
243,1.592274143302181,0,0E-12,2981.0954655035120
192,1.5838629283489092,0,0E-12,2981.0954655035120
159,1.578823529411765,0,0E-12,2981.0954655035120
106,1.5780715063318205,0,0E-12,2981.0954655035120
154,1.575260850659046,0,0E-12,2981.0954655035120
129,1.5567592592592592,0,0E-12,2981.0954655035120
114,1.5516606846027725,0,0E-12,2981.0954655035120
141,1.5490885490151804,0,0E-12,2981.0954655035120
41,1.546764408411102,0,0E-12,2981.0954655035120
193,1.5400394996708369,0,0E-12,2981.0954655035120
43,1.5385184302699668,0,0E-12,2981.0954655035120
229,1.537757152637176,0,0E-12,2981.0954655035120
15,1.535664543524415,0,0E-12,2981.0954655035120
132,1.5353127833182234,0,0E-12,2981.0954655035120
226,1.5337606169871845,0,0E-12,2981.0954655035120
96,1.5316815034619151,0,0E-12,2981.0954655035120
112,1.5299999999999998,0,0E-12,2981.0954655035120
134,1.5228244274809162,0,0E-12,2981.0954655035120
153,1.5166666666666666,0,0E-12,2981.0954655035120
143,1.5161792655427941,0,0E-12,2981.0954655035120
62,1.513142857142857,0,0E-12,2981.0954655035120
165,1.5114917127071823,0,0E-12,2981.0954655035120
119,1.4946118721461188,0,0E-12,2981.0954655035120
117,1.4929137955537746,0,0E-12,2981.0954655035120
256,1.4915882352941177,0,0E-12,2981.0954655035120
95,1.4910204081632654,0,0E-12,2981.0954655035120
236,1.4880622489959836,0,0E-12,2981.0954655035120
136,1.4789455922225752,0,0E-12,2981.0954655035120
201,1.4587179487179487,0,0E-12,2981.0954655035120
247,1.4576119402985075,0,0E-12,2981.0954655035120
