pickup_zone,avg_trip_distance,bkt_tip_percentage,val_start,val_end
219,11.765,900,0.37576939220041400,0.464335061895414460
88,11.762500000000001,898,0.19863805281041308,0.287203722505413540
174,11.75,896,0.02150671342041216,0.110072383115412620
46,11.715,896,0.02150671342041216,0.110072383115412620
78,11.700000000000001,899,0.28720372250541354,0.375769392200414000
220,11.7,901,0.46433506189541446,0.552900731590414920
109,11.6,903,0.64146640128541538,0.730032070980415840
34,11.335999999999999,898,0.19863805281041308,0.287203722505413540
82,11.3,897,0.11007238311541262,0.198638052810413080
219,11.250687499999996,895,-0.06705895627458830,0.021506713420412160
37,11.18,896,0.02150671342041216,0.110072383115412620
164,11.15,906,0.90716341037041676,0.995729080065417220
251,11.1,900,0.37576939220041400,0.464335061895414460
146,11.05,897,0.11007238311541262,0.198638052810413080
135,11.05,906,0.90716341037041676,0.995729080065417220
