pickup_zone,avg_tip_percentage,bkt_tip_amount,val_start,val_end
-1,0.972132209981,141,149.1199708921505274,151.74351678500265880
-1,0.971523178808,140,146.4964249992983960,149.11997089215052740
85,0.971502590674,198,298.6620867847220172,301.28563267757414860
-1,0.9710412183504287,126,109.7667824993685564,112.39032839222068780
154,0.9694169646465001,120,94.0255071422557680,96.64905303510789940
72,0.968801313629,129,117.6374201779249506,120.26096607077708200
33,0.968543046358,128,115.0138742850728192,117.63742017792495060
85,0.965073529412,124,104.5196907136642936,107.14323660651642500
229,0.963455149502,117,86.1548694636993738,88.77841535655150520
-1,0.9626470983965,152,177.9789757135239728,180.60252160637610420
239,0.962077922078,154,183.2260674992282356,185.84961339208036700
41,0.962038481539,154,183.2260674992282356,185.84961339208036700
229,0.960992907801,115,80.9077776779951110,83.53132357084724240
-1,0.96065873742,124,104.5196907136642936,107.14323660651642500
53,0.960384153661,114,78.2842317851429796,80.90777767799511100
-1,0.960360189553,119,91.4019612494036366,94.02550714225576800
75,0.958605664488,117,86.1548694636993738,88.77841535655150520
-1,0.9585604741655,117,86.1548694636993738,88.77841535655150520
219,0.957207207207,116,83.5313235708472424,86.15486946369937380
-1,0.9570221880107999,109,65.1665023208823226,67.79004821373445400
41,0.957008244994,133,128.1316037493334762,130.75514964218560760
154,0.956221198157,115,80.9077776779951110,83.53132357084724240
229,0.955585464334,111,70.4135941065865854,73.03713999943871680
93,0.954653937947,114,78.2842317851429796,80.90777767799511100
17,0.953716690042,110,67.7900482137344540,70.41359410658658540
117,0.953591862683,129,117.6374201779249506,120.26096607077708200
61,0.9525,113,75.6606858922908482,78.28423178514297960
223,0.952380952381,116,83.5313235708472424,86.15486946369937380
-1,0.9505264034986001,113,75.6606858922908482,78.28423178514297960
75,0.950192862225,180,251.4382607133836520,254.06180660623578340
109,0.95,108,62.5429564280301912,65.16650232088232260
-1,0.9493466088116667,111,70.4135941065865854,73.03713999943871680
170,0.948582112808,107,59.9194105351780598,62.54295642803019120
43,0.948509485095,110,67.7900482137344540,70.41359410658658540
143,0.947155337737,253,442.9571108915892442,445.58065678444137560
-1,0.94698337550575,115,80.9077776779951110,83.53132357084724240
33,0.945151129111,98,36.3074974995088772,38.93104339236100860
228,0.944584382872,427,899.4540962478601078,902.07764214071223920
145,0.94387755102,105,54.6723187494737970,57.29586464232592840
127,0.943601227503,127,112.3903283922206878,115.01387428507281920
117,0.9410100594855,108,62.5429564280301912,65.16650232088232260
141,0.940733772342,122,99.2725989279600308,101.89614482081216220
96,0.940438871473,107,59.9194105351780598,62.54295642803019120
157,0.940438871473,107,59.9194105351780598,62.54295642803019120
30,0.940438871473,107,59.9194105351780598,62.54295642803019120
8,0.93808630394,103,49.4252269637695342,52.04877285662166560
228,0.93808630394,389,799.7593523194791146,802.38289821233124600
69,0.93808630394,389,799.7593523194791146,802.38289821233124600
239,0.9378985794079999,114,78.2842317851429796,80.90777767799511100
41,0.937646507267,160,198.9673428563410240,201.59088874919315540
15,0.936675461741,111,70.4135941065865854,73.03713999943871680
248,0.936329588015,122,99.2725989279600308,101.89614482081216220
43,0.935997976221,225,369.4978258917295650,372.12137178458169640
6,0.934393638171,102,46.8016810709174028,49.42522696376953420
85,0.934256055363,104,52.0487728566216656,54.67231874947379700
-1,0.934003105896,131,122.8845119636292134,125.50805785648134480
94,0.933841218925,101,44.1781351780652714,46.80168107091740280
75,0.933594602303,110,67.7900482137344540,70.41359410658658540
106,0.933191940615,117,86.1548694636993738,88.77841535655150520
239,0.933179723502,115,80.9077776779951110,83.53132357084724240
212,0.933098591549,104,52.0487728566216656,54.67231874947379700
18,0.933098591549,104,52.0487728566216656,54.67231874947379700
117,0.929795236105,168,219.9557099991580752,222.57925589201020660
248,0.929712994728,168,219.9557099991580752,222.57925589201020660
253,0.9294483085080001,103,49.4252269637695342,52.04877285662166560
164,0.92912229159,180,251.4382607133836520,254.06180660623578340
33,0.927487352445,105,54.6723187494737970,57.29586464232592840
79,0.927152317881,100,41.5545892852131400,44.17813517806527140
106,0.926823510898,129,117.6374201779249506,120.26096607077708200
132,0.926640926641,102,46.8016810709174028,49.42522696376953420
35,0.926640926641,102,46.8016810709174028,49.42522696376953420
239,0.926550371421,126,109.7667824993685564,112.39032839222068780
154,0.926402470407,152,177.9789757135239728,180.60252160637610420
154,0.9255734652693333,160,198.9673428563410240,201.59088874919315540
154,0.924788655558,126,109.7667824993685564,112.39032839222068780
72,0.923787528868,99,38.9310433923610086,41.55458928521314000
75,0.923694779116,101,44.1781351780652714,46.80168107091740280
91,0.922131147541,101,44.1781351780652714,46.80168107091740280
240,0.921658986175,114,78.2842317851429796,80.90777767799511100
135,0.920673076923,98,36.3074974995088772,38.93104339236100860
117,0.92026215183,116,83.5313235708472424,86.15486946369937380
154,0.9199322763867499,114,78.2842317851429796,80.90777767799511100
-1,0.9197299097680001,198,298.6620867847220172,301.28563267757414860
114,0.918570835064,126,109.7667824993685564,112.39032839222068780
117,0.918262232673,115,80.9077776779951110,83.53132357084724240
154,0.918124006359,128,115.0138742850728192,117.63742017792495060
164,0.917431192661,129,117.6374201779249506,120.26096607077708200
229,0.91711360312,112,73.0371399994387168,75.66068589229084820
91,0.917030567686,100,41.5545892852131400,44.17813517806527140
215,0.91649694501,135,133.3786955350377390,136.00224142788987040
229,0.915780866721,126,109.7667824993685564,112.39032839222068780
