pickup_zone,avg_passenger_count,bkt_total_amount,val_start,val_end
43,3.0,24,-84.4927115916488,-48.07990790796750
248,3.0,25,-48.0799079079675,-11.66710422428620
97,3.0,32,206.8097178778016,243.22252156148290
5,3.0,29,97.5713068267577,133.98411051043900
102,3.0,26,-11.6671042242862,24.74569945939510
155,3.0,37,388.8737362962081,425.28653997988940
155,3.0,34,279.6353252451642,316.04812892884550
227,3.0,31,170.3969141941203,206.80971787780160
137,3.0,24,-84.4927115916488,-48.07990790796750
191,3.0,30,133.9841105104390,170.39691419412030
109,3.0,36,352.4609326125268,388.87373629620810
155,3.0,32,206.8097178778016,243.22252156148290
2,3.0,28,61.1585031430764,97.57130682675770
35,3.0,29,97.5713068267577,133.98411051043900
33,3.0,39,461.6993436635707,498.11214734725200
204,3.0,26,-11.6671042242862,24.74569945939510
161,3.0,37,388.8737362962081,425.28653997988940
222,3.0,27,24.7456994593951,61.15850314307640
68,3.0,24,-84.4927115916488,-48.07990790796750
88,3.0,29,97.5713068267577,133.98411051043900
-1,3.0,57,1117.1298099698341,1153.54261365351540
71,3.0,38,425.2865399798894,461.69934366357070
151,3.0,30,133.9841105104390,170.39691419412030
35,3.0,31,170.3969141941203,206.80971787780160
167,3.0,26,-11.6671042242862,24.74569945939510
191,3.0,59,1189.9554173371967,1226.36822102087800
82,3.0,34,279.6353252451642,316.04812892884550
-1,3.0,56,1080.7170062861528,1117.12980996983410
38,3.0,28,61.1585031430764,97.57130682675770
86,3.0,37,388.8737362962081,425.28653997988940
249,3.0,28,61.1585031430764,97.57130682675770
50,2.8,28,61.1585031430764,97.57130682675770
248,2.625,24,-84.4927115916488,-48.07990790796750
9,2.5555555555555554,28,61.1585031430764,97.57130682675770
164,2.5,33,243.2225215614829,279.63532524516420
122,2.5,29,97.5713068267577,133.98411051043900
238,2.5,28,61.1585031430764,97.57130682675770
99,2.5,28,61.1585031430764,97.57130682675770
92,2.5,31,170.3969141941203,206.80971787780160
189,2.5,27,24.7456994593951,61.15850314307640
245,2.5,34,279.6353252451642,316.04812892884550
161,2.5,30,133.9841105104390,170.39691419412030
178,2.5,39,461.6993436635707,498.11214734725200
109,2.5,34,279.6353252451642,316.04812892884550
150,2.5,30,133.9841105104390,170.39691419412030
41,2.5,25,-48.0799079079675,-11.66710422428620
170,2.5,26,-11.6671042242862,24.74569945939510
51,2.4,29,97.5713068267577,133.98411051043900
222,2.392857142857143,26,-11.6671042242862,24.74569945939510
163,2.357142857142857,27,24.7456994593951,61.15850314307640
203,2.3333333333333335,28,61.1585031430764,97.57130682675770
65,2.3333333333333335,29,97.5713068267577,133.98411051043900
196,2.3333333333333335,32,206.8097178778016,243.22252156148290
213,2.3333333333333335,28,61.1585031430764,97.57130682675770
247,2.3333333333333335,28,61.1585031430764,97.57130682675770
95,2.3,27,24.7456994593951,61.15850314307640
12,2.25,27,24.7456994593951,61.15850314307640
158,2.25,28,61.1585031430764,97.57130682675770
240,2.25,25,-48.0799079079675,-11.66710422428620
157,2.25,30,133.9841105104390,170.39691419412030
77,2.25,26,-11.6671042242862,24.74569945939510
248,2.25,32,206.8097178778016,243.22252156148290
28,2.25,26,-11.6671042242862,24.74569945939510
239,2.25,33,243.2225215614829,279.63532524516420
156,2.2,26,-11.6671042242862,24.74569945939510
145,2.1666666666666665,31,170.3969141941203,206.80971787780160
221,2.1666666666666665,29,97.5713068267577,133.98411051043900
6,2.1538461538461537,29,97.5713068267577,133.98411051043900
132,2.142857142857143,28,61.1585031430764,97.57130682675770
117,2.125,33,243.2225215614829,279.63532524516420
54,2.125,26,-11.6671042242862,24.74569945939510
161,2.125,29,97.5713068267577,133.98411051043900
17,2.1153846153846154,27,24.7456994593951,61.15850314307640
