pickup_zone,avg_total_amount,bkt_trip_distance,val_start,val_end
18,15.618482142857138,0,0E-12,2981.0954655035120
113,15.601744891085023,0,0E-12,2981.0954655035120
162,15.600892857142846,0,0E-12,2981.0954655035120
112,15.562142857142858,0,0E-12,2981.0954655035120
96,15.55670263465573,0,0E-12,2981.0954655035120
119,15.527899543378995,0,0E-12,2981.0954655035120
235,15.517119828116606,0,0E-12,2981.0954655035120
253,15.487933308751835,0,0E-12,2981.0954655035120
43,15.479124830229633,0,0E-12,2981.0954655035120
188,15.430688073394537,0,0E-12,2981.0954655035120
65,15.372030203732763,0,0E-12,2981.0954655035120
105,15.320845280764443,0,0E-12,2981.0954655035120
200,15.3,0,0E-12,2981.0954655035120
130,15.169740259740253,0,0E-12,2981.0954655035120
163,15.125443037974673,0,0E-12,2981.0954655035120
141,15.087107060218763,0,0E-12,2981.0954655035120
157,15.016753363025696,0,0E-12,2981.0954655035120
6,14.989753799034224,0,0E-12,2981.0954655035120
15,14.953356687898593,0,0E-12,2981.0954655035120
49,14.90851376146766,0,0E-12,2981.0954655035120
259,14.813985572588093,0,0E-12,2981.0954655035120
229,14.809441694952444,0,0E-12,2981.0954655035120
98,14.753333333333336,0,0E-12,2981.0954655035120
165,14.698453038674026,0,0E-12,2981.0954655035120
62,14.684000000000001,0,0E-12,2981.0954655035120
93,14.677889610389613,0,0E-12,2981.0954655035120
23,14.653229813664616,0,0E-12,2981.0954655035120
147,14.570000000000002,0,0E-12,2981.0954655035120
215,14.509772611233227,0,0E-12,2981.0954655035120
172,14.461256520301898,0,0E-12,2981.0954655035120
56,14.410882352941167,0,0E-12,2981.0954655035120
75,14.216979779382614,0,0E-12,2981.0954655035120
164,14.104962596252506,0,0E-12,2981.0954655035120
154,14.021363778245897,0,0E-12,2981.0954655035120
127,13.991689757545481,0,0E-12,2981.0954655035120
117,13.9896082410945,0,0E-12,2981.0954655035120
116,13.924225707980733,0,0E-12,2981.0954655035120
248,13.908987895880383,0,0E-12,2981.0954655035120
171,13.738258512680376,0,0E-12,2981.0954655035120
257,13.656854838709672,0,0E-12,2981.0954655035120
226,13.636697115382491,0,0E-12,2981.0954655035120
160,13.614764705882344,0,0E-12,2981.0954655035120
41,13.595200313439609,0,0E-12,2981.0954655035120
114,13.585024065701148,0,0E-12,2981.0954655035120
72,13.410095960008148,0,0E-12,2981.0954655035120
106,13.396428728188285,0,0E-12,2981.0954655035120
87,13.368961119151214,0,0E-12,2981.0954655035120
136,13.098612626010526,0,0E-12,2981.0954655035120
39,12.959242383802746,0,0E-12,2981.0954655035120
240,12.866266807483601,0,0E-12,2981.0954655035120
232,12.77222222222222,0,0E-12,2981.0954655035120
81,12.716,0,0E-12,2981.0954655035120
239,12.628367990038939,0,0E-12,2981.0954655035120
48,12.314615384615385,0,0E-12,2981.0954655035120
167,7.8,0,0E-12,2981.0954655035120
207,6.8,0,0E-12,2981.0954655035120
211,6.8,0,0E-12,2981.0954655035120
41,4.3,212,631992.238686744544,634973.3341522480560
143,3.8,470,1401114.868786650640,1404095.9642521541520
143,3.3,94,280222.973757330128,283204.0692228336400
80,3.3,0,0E-12,2981.0954655035120
143,3.3,554,1651526.887888945648,1654507.9833544491600
116,3.3,818,2438536.090781872816,2441517.1862473763280
140,0.0,0,0E-12,2981.0954655035120
