pickup_zone,avg_tip_percentage,bkt_trip_distance,trip_distance_start,trip_distance_end
141,0.1022829325502757,0,0.0,2981.095465503512
234,0.10227233070347498,0,0.0,2981.095465503512
221,0.10227245881017347,0,0.0,2981.095465503512
48,0.10227184148311126,0,0.0,2981.095465503512
136,0.10216613477523812,0,0.0,2981.095465503512
82,0.10227175446577243,0,0.0,2981.095465503512
195,0.10227179993652798,0,0.0,2981.095465503512
137,0.10179484209107288,0,0.0,2981.095465503512
113,0.10227044754399073,0,0.0,2981.095465503512
223,0.10227177996431386,0,0.0,2981.095465503512
51,0.10226660008203199,0,0.0,2981.095465503512
259,0.10231117325363039,0,0.0,2981.095465503512
69,0.10227200315789149,0,0.0,2981.095465503512
44,0.1022717749024489,0,0.0,2981.095465503512
13,0.10227196367412293,0,0.0,2981.095465503512
14,0.10227178047125816,0,0.0,2981.095465503512
118,0.10227309310318485,0,0.0,2981.095465503512
116,0.10227178812191595,818,2438536.090781873,2441517.1862473763
38,0.10227179812733535,0,0.0,2981.095465503512
152,0.10227246488539365,0,0.0,2981.095465503512
186,0.10227172246792975,0,0.0,2981.095465503512
43,0.10230842382243095,0,0.0,2981.095465503512
95,0.10227197600539048,0,0.0,2981.095465503512
62,0.102271825156173,0,0.0,2981.095465503512
45,0.1022889243039767,0,0.0,2981.095465503512
183,0.10227177388627598,0,0.0,2981.095465503512
145,0.10219285348039421,0,0.0,2981.095465503512
24,0.1022718068755892,0,0.0,2981.095465503512
181,0.10227300593666934,0,0.0,2981.095465503512
35,0.10227266697640963,0,0.0,2981.095465503512
31,0.10227202227138626,0,0.0,2981.095465503512
6,0.10234745121538248,0,0.0,2981.095465503512
156,0.10227187567397703,0,0.0,2981.095465503512
177,0.102271846413072,0,0.0,2981.095465503512
-1,0.10229447099636173,0,0.0,2981.095465503512
243,0.10227221354420937,0,0.0,2981.095465503512
230,0.10227211420037319,0,0.0,2981.095465503512
50,0.10227197792438292,0,0.0,2981.095465503512
9,0.10227306012037092,0,0.0,2981.095465503512
169,0.10227178812191595,0,0.0,2981.095465503512
2,0.10227178085552745,0,0.0,2981.095465503512
247,0.10227213582028659,0,0.0,2981.095465503512
112,0.10227183312249574,0,0.0,2981.095465503512
192,0.10227263429893196,0,0.0,2981.095465503512
153,0.10227177944901095,0,0.0,2981.095465503512
123,0.10227172026466799,0,0.0,2981.095465503512
149,0.10227177692437688,0,0.0,2981.095465503512
240,0.10252915712556172,0,0.0,2981.095465503512
119,0.10227194927127224,0,0.0,2981.095465503512
94,0.10227763298475184,0,0.0,2981.095465503512
171,0.10217858730312578,0,0.0,2981.095465503512
151,0.10227367254981212,0,0.0,2981.095465503512
212,0.10227317004100246,0,0.0,2981.095465503512
102,0.10227176739900182,0,0.0,2981.095465503512
245,0.10230045555202538,0,0.0,2981.095465503512
125,0.10227188152182978,0,0.0,2981.095465503512
167,0.10227178812191595,0,0.0,2981.095465503512
117,0.10248047326536511,0,0.0,2981.095465503512
251,0.10227189969691361,0,0.0,2981.095465503512
191,0.10227335809747826,0,0.0,2981.095465503512
182,0.10227200923281912,0,0.0,2981.095465503512
49,0.10227533859531569,0,0.0,2981.095465503512
32,0.10227172465756704,0,0.0,2981.095465503512
176,0.10227179749875172,0,0.0,2981.095465503512
126,0.10227748853023927,0,0.0,2981.095465503512
180,0.10227273879313724,0,0.0,2981.095465503512
140,0.10227178812191595,0,0.0,2981.095465503512
16,0.10227177838264997,0,0.0,2981.095465503512
122,0.10227188339550553,0,0.0,2981.095465503512
52,0.10227225503080142,0,0.0,2981.095465503512
219,0.10227383545360917,0,0.0,2981.095465503512
75,0.10200177712976634,0,0.0,2981.095465503512
224,0.10227179548650338,0,0.0,2981.095465503512
248,0.10227178812191595,2683,7998279.133945923,8001260.229411426
248,0.10195901282742284,0,0.0,2981.095465503512
74,0.1022731769847609,0,0.0,2981.095465503512
41,0.10227178812191595,212,631992.2386867446,634973.3341522481
96,0.10228758872230738,0,0.0,2981.095465503512
41,0.10195773741856265,0,0.0,2981.095465503512
216,0.10227304913040883,0,0.0,2981.095465503512
61,0.10227793287428572,0,0.0,2981.095465503512
63,0.10227264147119171,0,0.0,2981.095465503512
15,0.10228836005834137,0,0.0,2981.095465503512
54,0.10227184195569303,0,0.0,2981.095465503512
5,0.10227177133043519,0,0.0,2981.095465503512
86,0.10227679593903646,0,0.0,2981.095465503512
175,0.10227247386916839,0,0.0,2981.095465503512
17,0.10227196634368771,0,0.0,2981.095465503512
105,0.102273213777751,0,0.0,2981.095465503512
217,0.10227177098841905,0,0.0,2981.095465503512
258,0.10227178734532333,0,0.0,2981.095465503512
