pickup_zone,avg_passenger_count,bkt_trip_distance,trip_distance_start,trip_distance_end
37,1.6708474693442288,0,0.0,2981.095465503512
142,1.6708471606592008,0,0.0,2981.095465503512
131,1.6700935964704082,0,0.0,2981.095465503512
47,1.6708480867156434,0,0.0,2981.095465503512
170,1.67084682179606,0,0.0,2981.095465503512
208,1.6708481608745087,0,0.0,2981.095465503512
21,1.670846850824839,0,0.0,2981.095465503512
98,1.6708469738386522,0,0.0,2981.095465503512
198,1.6708481602055019,0,0.0,2981.095465503512
252,1.6708469899361977,0,0.0,2981.095465503512
160,1.6708454180449113,0,0.0,2981.095465503512
90,1.6708473474800574,0,0.0,2981.095465503512
220,1.6708450809490774,0,0.0,2981.095465503512
242,1.6708471408294463,0,0.0,2981.095465503512
81,1.6708469134815436,0,0.0,2981.095465503512
18,1.6708471684265105,0,0.0,2981.095465503512
57,1.6708472313653293,0,0.0,2981.095465503512
143,1.670846850824839,470,1401114.8687866507,1404095.964252154
109,1.6708481485488578,0,0.0,2981.095465503512
70,1.6708573667330495,0,0.0,2981.095465503512
246,1.6708469436601008,0,0.0,2981.095465503512
253,1.670729832792029,0,0.0,2981.095465503512
194,1.6708494594355714,0,0.0,2981.095465503512
238,1.6708474702145597,0,0.0,2981.095465503512
236,1.6708493104603512,0,0.0,2981.095465503512
23,1.670854126220135,0,0.0,2981.095465503512
79,1.6708669518039478,0,0.0,2981.095465503512
206,1.6708488703502187,0,0.0,2981.095465503512
60,1.6708467022314886,0,0.0,2981.095465503512
0,1.6708461728110495,0,0.0,2981.095465503512
85,1.6707760430868333,0,0.0,2981.095465503512
168,1.6708471583594569,0,0.0,2981.095465503512
46,1.6708469083149395,0,0.0,2981.095465503512
210,1.6708469169309579,0,0.0,2981.095465503512
115,1.6708469738386522,0,0.0,2981.095465503512
226,1.6709331554562765,0,0.0,2981.095465503512
196,1.6708484066902094,0,0.0,2981.095465503512
53,1.6708364573143242,0,0.0,2981.095465503512
127,1.6708526192547521,0,0.0,2981.095465503512
190,1.670846850824839,0,0.0,2981.095465503512
39,1.669671584153322,0,0.0,2981.095465503512
55,1.6708705665389156,0,0.0,2981.095465503512
134,1.6708492430497328,0,0.0,2981.095465503512
34,1.670846871521093,0,0.0,2981.095465503512
72,1.6709409730898257,0,0.0,2981.095465503512
68,1.6709261576316188,0,0.0,2981.095465503512
184,1.6708469192305706,0,0.0,2981.095465503512
59,1.6708470051670272,0,0.0,2981.095465503512
78,1.6708460092718143,0,0.0,2981.095465503512
124,1.67084691233174,0,0.0,2981.095465503512
202,1.6708474380157257,0,0.0,2981.095465503512
164,1.6714100776587844,0,0.0,2981.095465503512
114,1.670672899951913,0,0.0,2981.095465503512
174,1.6708479346727951,0,0.0,2981.095465503512
201,1.6708486490069832,0,0.0,2981.095465503512
188,1.6708514411477577,0,0.0,2981.095465503512
162,1.6708485957562373,0,0.0,2981.095465503512
241,1.6708474437654812,0,0.0,2981.095465503512
255,1.6708455623130123,0,0.0,2981.095465503512
4,1.6708468531244127,0,0.0,2981.095465503512
22,1.6709192253920042,0,0.0,2981.095465503512
65,1.6708417134273006,0,0.0,2981.095465503512
12,1.6708471618090737,0,0.0,2981.095465503512
71,1.6708621852604568,0,0.0,2981.095465503512
215,1.6706616891369341,0,0.0,2981.095465503512
67,1.6708466732026257,0,0.0,2981.095465503512
