pickup_zone,avg_tip_amount,bkt_passenger_count,passenger_count_start,passenger_count_end
72,1.7513772303509278,1,1.324890838664829,2.649781677329658
220,1.7506456475295469,0,0.0,1.324890838664829
247,1.7506643236667745,0,0.0,1.324890838664829
255,1.7506604222353945,0,0.0,1.324890838664829
13,1.7506635936774664,3,3.974672515994487,5.299563354659316
41,1.764082622391058,0,0.0,1.324890838664829
245,1.7506632719693658,4,5.299563354659316,6.624454193324145
31,1.7506274908251365,0,0.0,1.324890838664829
196,1.7506406776250363,3,3.974672515994487,5.299563354659316
129,1.7506641671987369,1,1.324890838664829,2.649781677329658
5,1.7506638093208784,0,0.0,1.324890838664829
248,1.75066329930633,6,7.949345031988974,9.274235870653804
227,1.750715030869518,3,3.974672515994487,5.299563354659316
56,1.7506646980579301,2,2.649781677329658,3.974672515994487
224,1.7506635973448845,2,2.649781677329658,3.974672515994487
0,1.7506635973448845,2,2.649781677329658,3.974672515994487
94,1.7506636929288963,4,5.299563354659316,6.624454193324145
34,1.7506525908857231,0,0.0,1.324890838664829
49,1.7506966168748008,0,0.0,1.324890838664829
239,1.7528993266608894,2,2.649781677329658,3.974672515994487
235,1.7506810679711962,2,2.649781677329658,3.974672515994487
26,1.7506647952952448,0,0.0,1.324890838664829
9,1.750661726887276,3,3.974672515994487,5.299563354659316
205,1.7506634368345049,2,2.649781677329658,3.974672515994487
258,1.750662680490301,0,0.0,1.324890838664829
212,1.750662871053623,1,1.324890838664829,2.649781677329658
88,1.7506639456850102,3,3.974672515994487,5.299563354659316
257,1.7506673843283607,0,0.0,1.324890838664829
78,1.7506637578552937,3,3.974672515994487,5.299563354659316
8,1.7467692927044094,0,0.0,1.324890838664829
219,1.7501726160954403,0,0.0,1.324890838664829
244,1.7506639755114102,0,0.0,1.324890838664829
152,1.750667084942574,0,0.0,1.324890838664829
223,1.750663635057614,3,3.974672515994487,5.299563354659316
213,1.7506633901357487,3,3.974672515994487,5.299563354659316
62,1.7506636241770461,2,2.649781677329658,3.974672515994487
202,1.7506610877243802,0,0.0,1.324890838664829
13,1.7506579975590606,1,1.324890838664829,2.649781677329658
215,1.7512997583581615,0,0.0,1.324890838664829
154,1.7554691725600222,1,1.324890838664829,2.649781677329658
71,1.750665596145958,4,5.299563354659316,6.624454193324145
50,1.7506622550697741,2,2.649781677329658,3.974672515994487
55,1.750669143899288,3,3.974672515994487,5.299563354659316
29,1.7506637744803946,3,3.974672515994487,5.299563354659316
14,1.7506515709633106,1,1.324890838664829,2.649781677329658
256,1.7506640221529626,4,5.299563354659316,6.624454193324145
235,1.7505915138478345,3,3.974672515994487,5.299563354659316
75,1.750806266601136,4,5.299563354659316,6.624454193324145
36,1.7506441922568634,3,3.974672515994487,5.299563354659316
23,1.750697062132,0,0.0,1.324890838664829
151,1.7506776398994857,0,0.0,1.324890838664829
103,1.7506635973448845,2,2.649781677329658,3.974672515994487
106,1.7532948974864713,0,0.0,1.324890838664829
39,1.7511766483255333,3,3.974672515994487,5.299563354659316
6,1.7507119605240709,4,5.299563354659316,6.624454193324145
172,1.7507097457168515,3,3.974672515994487,5.299563354659316
175,1.7506644045424158,3,3.974672515994487,5.299563354659316
197,1.7506635388357967,3,3.974672515994487,5.299563354659316
230,1.750663269232568,2,2.649781677329658,3.974672515994487
136,1.750905818217633,2,2.649781677329658,3.974672515994487
97,1.7506651417360153,0,0.0,1.324890838664829
53,1.7506577558663192,0,0.0,1.324890838664829
253,1.7507635294031292,0,0.0,1.324890838664829
6,1.750756999908395,3,3.974672515994487,5.299563354659316
132,1.7506674513217018,1,1.324890838664829,2.649781677329658
221,1.7506154973356722,0,0.0,1.324890838664829
164,1.7527421237359162,0,0.0,1.324890838664829
198,1.7506645554521174,2,2.649781677329658,3.974672515994487
172,1.7506788336634853,1,1.324890838664829,2.649781677329658
216,1.750676066262595,0,0.0,1.324890838664829
180,1.7506581126695373,2,2.649781677329658,3.974672515994487
118,1.7506664312166367,0,0.0,1.324890838664829
73,1.7506634368345049,4,5.299563354659316,6.624454193324145
181,1.7506622607530609,4,5.299563354659316,6.624454193324145
7,1.7506634139739679,3,3.974672515994487,5.299563354659316
222,1.7506633810888477,4,5.299563354659316,6.624454193324145
39,1.7509618320628155,2,2.649781677329658,3.974672515994487
136,1.7513564850034748,1,1.324890838664829,2.649781677329658
71,1.7506345715283436,1,1.324890838664829,2.649781677329658
175,1.7506574900881602,0,0.0,1.324890838664829
216,1.750664514013729,3,3.974672515994487,5.299563354659316
10,1.750659726808244,0,0.0,1.324890838664829
1,1.7506475150361036,0,0.0,1.324890838664829
43,1.7507450872836747,3,3.974672515994487,5.299563354659316
243,1.750663331995244,1,1.324890838664829,2.649781677329658
103,1.750665848404908,1,1.324890838664829,2.649781677329658
248,1.7506634002211492,5,6.624454193324145,7.949345031988974
189,1.7506634368345049,0,0.0,1.324890838664829
154,1.7518641427424668,4,5.299563354659316,6.624454193324145
164,1.7507847511387573,4,5.299563354659316,6.624454193324145
70,1.7501383999867024,0,0.0,1.324890838664829
134,1.7506671733238348,1,1.324890838664829,2.649781677329658
206,1.7506635948334643,4,5.299563354659316,6.624454193324145
129,1.750663107744537,4,5.299563354659316,6.624454193324145
83,1.7506635973448845,4,5.299563354659316,6.624454193324145
174,1.750662719915048,2,2.649781677329658,3.974672515994487
9,1.7506643853399608,1,1.324890838664829,2.649781677329658
184,1.7506634368345049,1,1.324890838664829,2.649781677329658
245,1.7506464138191566,0,0.0,1.324890838664829
70,1.7506350620148572,3,3.974672515994487,5.299563354659316
91,1.7506521805325421,0,0.0,1.324890838664829
143,1.750682417616811,2,2.649781677329658,3.974672515994487
236,1.7506686817715083,3,3.974672515994487,5.299563354659316
58,1.7506568802067708,1,1.324890838664829,2.649781677329658
142,1.7506627033509052,2,2.649781677329658,3.974672515994487
203,1.7506640788762002,1,1.324890838664829,2.649781677329658
75,1.7509716565821865,1,1.324890838664829,2.649781677329658
74,1.750622391825796,0,0.0,1.324890838664829
236,1.7506672673963826,4,5.299563354659316,6.624454193324145
194,1.750665298842116,1,1.324890838664829,2.649781677329658
212,1.7506627019370644,3,3.974672515994487,5.299563354659316
150,1.750662139138259,3,3.974672515994487,5.299563354659316
44,1.7506637578552937,1,1.324890838664829,2.649781677329658
129,1.7506642393866976,2,2.649781677329658,3.974672515994487
204,1.7506633222276926,2,2.649781677329658,3.974672515994487
127,1.7509129843428695,0,0.0,1.324890838664829
51,1.750652976278834,2,2.649781677329658,3.974672515994487
251,1.7506605719670179,1,1.324890838664829,2.649781677329658
102,1.7506618067885606,0,0.0,1.324890838664829
240,1.7506633682528812,6,7.949345031988974,9.274235870653804
210,1.750663367153563,4,5.299563354659316,6.624454193324145
8,1.7506620468830836,5,6.624454193324145,7.949345031988974
56,1.750666231832812,1,1.324890838664829,2.649781677329658
234,1.7506634368345049,4,5.299563354659316,6.624454193324145
131,1.7506599079220402,6,7.949345031988974,9.274235870653804
137,1.7506634368345049,6,7.949345031988974,9.274235870653804
184,1.7506632002860443,4,5.299563354659316,6.624454193324145
85,1.7504249168526973,2,2.649781677329658,3.974672515994487
-1,1.7505025089502857,2,2.649781677329658,3.974672515994487
253,1.7506680946537152,4,5.299563354659316,6.624454193324145
126,1.7506669228035836,0,0.0,1.324890838664829
229,1.7515512098320256,3,3.974672515994487,5.299563354659316
116,1.750812222331881,2,2.649781677329658,3.974672515994487
50,1.7506600444546416,0,0.0,1.324890838664829
18,1.7506600323357056,0,0.0,1.324890838664829
196,1.7505180290615818,0,0.0,1.324890838664829
220,1.7506578045235577,3,3.974672515994487,5.299563354659316
28,1.7506640788762002,3,3.974672515994487,5.299563354659316
240,1.7530182725468746,3,3.974672515994487,5.299563354659316
180,1.750664956118277,3,3.974672515994487,5.299563354659316
69,1.7506638726447297,3,3.974672515994487,5.299563354659316
7,1.750662186487819,1,1.324890838664829,2.649781677329658
105,1.7506638784415092,0,0.0,1.324890838664829
137,1.7476600055461318,4,5.299563354659316,6.624454193324145
243,1.7506630733904165,4,5.299563354659316,6.624454193324145
107,1.750663345149055,0,0.0,1.324890838664829
220,1.7506598057920943,2,2.649781677329658,3.974672515994487
96,1.7506767519372155,3,3.974672515994487,5.299563354659316
94,1.7506644381764045,1,1.324890838664829,2.649781677329658
22,1.7506621459253113,2,2.649781677329658,3.974672515994487
51,1.7506436695082164,4,5.299563354659316,6.624454193324145
150,1.7506662207083394,4,5.299563354659316,6.624454193324145
118,1.7506640294878029,2,2.649781677329658,3.974672515994487
77,1.750663181948954,1,1.324890838664829,2.649781677329658
171,1.7507370256554178,3,3.974672515994487,5.299563354659316
72,1.7508540895713973,4,5.299563354659316,6.624454193324145
151,1.750663940857236,2,2.649781677329658,3.974672515994487
116,1.751063573493571,1,1.324890838664829,2.649781677329658
199,1.7506614685833337,4,5.299563354659316,6.624454193324145
122,1.75066304741451,2,2.649781677329658,3.974672515994487
239,1.750663404805422,5,6.624454193324145,7.949345031988974
5,1.750613341102674,1,1.324890838664829,2.649781677329658
41,1.7506632580478776,5,6.624454193324145,7.949345031988974
226,1.7507501651602821,1,1.324890838664829,2.649781677329658
234,1.7506676328543793,0,0.0,1.324890838664829
93,1.7506671900719561,1,1.324890838664829,2.649781677329658
19,1.7506639826064423,2,2.649781677329658,3.974672515994487
184,1.7506634368345049,3,3.974672515994487,5.299563354659316
241,1.7506634368345049,3,3.974672515994487,5.299563354659316
248,1.7510362314141965,3,3.974672515994487,5.299563354659316
137,1.74337223872281,3,3.974672515994487,5.299563354659316
150,1.7506631666471875,2,2.649781677329658,3.974672515994487
212,1.750666147288567,0,0.0,1.324890838664829
181,1.7506639362120857,2,2.649781677329658,3.974672515994487
45,1.7506901163656865,2,2.649781677329658,3.974672515994487
158,1.7506650440172362,3,3.974672515994487,5.299563354659316
52,1.7506617423592732,1,1.324890838664829,2.649781677329658
47,1.750661244142927,1,1.324890838664829,2.649781677329658
17,1.7506632205784585,2,2.649781677329658,3.974672515994487
119,1.7506649696909584,2,2.649781677329658,3.974672515994487
183,1.7506562305988052,0,0.0,1.324890838664829
195,1.7506629601309491,0,0.0,1.324890838664829
57,1.7506634368345049,4,5.299563354659316,6.624454193324145
136,1.7547739033346335,0,0.0,1.324890838664829
129,1.7506631217769728,0,0.0,1.324890838664829
188,1.7506612017175869,4,5.299563354659316,6.624454193324145
