pickup_zone,avg_tip_percentage,bkt_total_amount,total_amount_start,total_amount_end
141,0.10227178812191595,25,-48.079907907967595,-11.667104224286277
133,0.10227149948206653,28,61.15850314307636,97.57130682675768
131,0.1022717659133564,35,316.04812892884536,352.4609326125268
258,0.10227178734532333,28,61.15850314307636,97.57130682675768
78,0.10227176978704165,30,133.98411051043888,170.3969141941203
195,0.10227179993652798,28,61.15850314307636,97.57130682675768
88,0.10227176696279341,34,279.63532524516415,316.04812892884536
106,0.10227101224140767,29,97.57130682675768,133.98411051043888
114,0.10227177862388226,30,133.98411051043888,170.3969141941203
184,0.10227180351833463,27,24.74569945939504,61.15850314307636
186,0.10227179749875172,26,-11.667104224286277,24.74569945939504
142,0.10227178812191595,29,97.57130682675768,133.98411051043888
245,0.10226886776784425,27,24.74569945939504,61.15850314307636
172,0.1022717712554077,31,170.3969141941203,206.80971787780152
161,0.10227177313863936,28,61.15850314307636,97.57130682675768
186,0.10227172733932083,27,24.74569945939504,61.15850314307636
83,0.10227181625242843,26,-11.667104224286277,24.74569945939504
164,0.10227178376700224,34,279.63532524516415,316.04812892884536
143,0.10227171384413643,42,570.9377547146145,607.3505583982957
180,0.10227700787672034,26,-11.667104224286277,24.74569945939504
41,0.10227175411789259,33,243.22252156148272,279.63532524516415
19,0.10227177283898126,28,61.15850314307636,97.57130682675768
183,0.10227177284100762,34,279.63532524516415,316.04812892884536
83,0.1022717814916814,32,206.80971787780152,243.22252156148272
150,0.10227653808411237,26,-11.667104224286277,24.74569945939504
47,0.10227195800815454,26,-11.667104224286277,24.74569945939504
105,0.10227173195308274,28,61.15850314307636,97.57130682675768
43,0.10227175894166042,29,97.57130682675768,133.98411051043888
215,0.10227178221784199,32,206.80971787780152,243.22252156148272
154,0.10227185375980245,25,-48.079907907967595,-11.667104224286277
5,0.10227176696373519,37,388.873736296208,425.2865399798892
239,0.10227178812191595,40,498.11214734725183,534.5249510309333
74,0.10227329055044745,26,-11.667104224286277,24.74569945939504
199,0.10227097441737473,28,61.15850314307636,97.57130682675768
154,0.10227179749875172,48,789.4145768167024,825.8273805003836
91,0.10227176978355203,34,279.63532524516415,316.04812892884536
180,0.10227178812191595,24,-84.4927115916488,-48.079907907967595
248,0.1022061762410314,27,24.74569945939504,61.15850314307636
117,0.10224306965051952,27,24.74569945939504,61.15850314307636
55,0.1022763657132748,26,-11.667104224286277,24.74569945939504
239,0.10227171581051885,53,971.4785952351089,1007.8913989187901
247,0.1022721423314886,26,-11.667104224286277,24.74569945939504
160,0.10227181500408543,27,24.74569945939504,61.15850314307636
210,0.10227179159198825,27,24.74569945939504,61.15850314307636
74,0.1022717985397905,32,206.80971787780152,243.22252156148272
219,0.10227179160409662,35,316.04812892884536,352.4609326125268
75,0.10227179749875172,25,-48.079907907967595,-11.667104224286277
94,0.10227176697126313,36,352.4609326125268,388.873736296208
193,0.10227120435534556,27,24.74569945939504,61.15850314307636
53,0.10227300354403657,26,-11.667104224286277,24.74569945939504
155,0.10227178812191595,25,-48.079907907967595,-11.667104224286277
235,0.10227171518614397,31,170.3969141941203,206.80971787780152
158,0.1022716975832886,34,279.63532524516415,316.04812892884536
137,0.10227177326459742,36,352.4609326125268,388.873736296208
155,0.10227174978768476,28,61.15850314307636,97.57130682675768
70,0.10227178812191595,50,862.2401841840648,898.6529878677462
188,0.10227178812191595,32,206.80971787780152,243.22252156148272
58,0.10227210752693781,27,24.74569945939504,61.15850314307636
219,0.10227179874091827,33,243.22252156148272,279.63532524516415
253,0.10227178812191595,24,-84.4927115916488,-48.079907907967595
199,0.10227177832892577,32,206.80971787780152,243.22252156148272
216,0.10227178812191595,32,206.80971787780152,243.22252156148272
14,0.10227176220645372,33,243.22252156148272,279.63532524516415
-1,0.10227178812191595,15,-412.20794474478055,-375.79514106109923
235,0.10227174456257483,33,243.22252156148272,279.63532524516415
255,0.10227178812191595,31,170.3969141941203,206.80971787780152
33,0.10227176698177862,30,133.98411051043888,170.3969141941203
127,0.10227169570921046,29,97.57130682675768,133.98411051043888
13,0.10227176698537763,29,97.57130682675768,133.98411051043888
