pickup_zone,avg_passenger_count,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
155,1.6708483442465687,897,0.11007238311540846,0.19863805281040925
87,1.6708472198664142,905,0.8185977406754148,0.9071634103704156
54,1.67084691233174,897,0.11007238311540846,0.19863805281040925
47,1.670846850824839,896,0.021506713420407664,0.11007238311540846
251,1.6708468206462816,900,0.37576939220041083,0.4643350618954116
245,1.6708405151911372,895,-0.06705895627459313,0.021506713420407664
180,1.6708480565371024,899,0.28720372250541004,0.37576939220041083
259,1.6708471003020764,900,0.37576939220041083,0.4643350618954116
245,1.6708467904677187,903,0.6414664012854132,0.730032070980414
142,1.670846850824839,898,0.19863805281040925,0.28720372250541004
203,1.6708466070967851,898,0.19863805281040925,0.28720372250541004
193,1.670846453904448,900,0.37576939220041083,0.4643350618954116
98,1.67084691233174,895,-0.06705895627459313,0.021506713420407664
12,1.6708463923975891,896,0.021506713420407664,0.11007238311540846
136,1.6708473799584866,903,0.6414664012854132,0.730032070980414
122,1.6708462751320432,897,0.11007238311540846,0.19863805281040925
144,1.670846850824839,901,0.4643350618954116,0.5529007315904124
141,1.6708139321623958,897,0.11007238311540846,0.19863805281040925
126,1.6708485517741165,898,0.19863805281040925,0.28720372250541004
248,1.6708490311824358,901,0.4643350618954116,0.5529007315904124
157,1.6708469157811525,903,0.6414664012854132,0.730032070980414
137,1.6708465872656262,902,0.5529007315904124,0.6414664012854132
212,1.67084691233174,899,0.28720372250541004,0.37576939220041083
96,1.6708470666739648,902,0.5529007315904124,0.6414664012854132
115,1.6708469738386522,895,-0.06705895627459313,0.021506713420407664
162,1.670846850824839,905,0.8185977406754148,0.9071634103704156
190,1.670846850824839,898,0.19863805281040925,0.28720372250541004
159,1.670846850824839,905,0.8185977406754148,0.9071634103704156
248,1.6710210457561945,897,0.11007238311540846,0.19863805281040925
239,1.670843447197241,902,0.5529007315904124,0.6414664012854132
137,1.6708508371626518,899,0.28720372250541004,0.37576939220041083
51,1.6708495897121054,896,0.021506713420407664,0.11007238311540846
228,1.6708447521030554,896,0.021506713420407664,0.11007238311540846
175,1.670846405906219,895,-0.06705895627459313,0.021506713420407664
131,1.6708467056807308,902,0.5529007315904124,0.6414664012854132
26,1.67084691233174,899,0.28720372250541004,0.37576939220041083
259,1.67084691233174,905,0.8185977406754148,0.9071634103704156
43,1.6708465757684892,904,0.730032070980414,0.8185977406754148
72,1.6708394716402162,895,-0.06705895627459313,0.021506713420407664
87,1.671095277287145,897,0.11007238311540846,0.19863805281040925
87,1.6708480039549936,900,0.37576939220041083,0.4643350618954116
221,1.6708466924630165,895,-0.06705895627459313,0.021506713420407664
137,1.670848278138409,901,0.4643350618954116,0.5529007315904124
161,1.6708476420870129,898,0.19863805281040925,0.28720372250541004
70,1.6708469134815436,902,0.5529007315904124,0.6414664012854132
55,1.67084691233174,900,0.37576939220041083,0.4643350618954116
217,1.670846850824839,898,0.19863805281040925,0.28720372250541004
198,1.6708451757584126,896,0.021506713420407664,0.11007238311540846
121,1.6708469146313476,895,-0.06705895627459313,0.021506713420407664
137,1.6708475889083956,905,0.8185977406754148,0.9071634103704156
253,1.6708473440302856,904,0.730032070980414,0.8185977406754148
51,1.6708467904677187,900,0.37576939220041083,0.4643350618954116
82,1.670846850824839,897,0.11007238311540846,0.19863805281040925
192,1.670846850824839,903,0.6414664012854132,0.730032070980414
96,1.6708791866440122,897,0.11007238311540846,0.19863805281040925
164,1.6708471618090737,905,0.8185977406754148,0.9071634103704156
79,1.670846759139389,902,0.5529007315904124,0.6414664012854132
118,1.6708466732026257,898,0.19863805281040925,0.28720372250541004
181,1.6708465455899066,899,0.28720372250541004,0.37576939220041083
137,1.6708468542742003,904,0.730032070980414,0.8185977406754148
6,1.67084691233174,906,0.9071634103704156,0.9957290800654164
140,1.670846850824839,895,-0.06705895627459313,0.021506713420407664
106,1.6710436450360266,897,0.11007238311540846,0.19863805281040925
90,1.6708469471095397,895,-0.06705895627459313,0.021506713420407664
210,1.6708470063168566,895,-0.06705895627459313,0.021506713420407664
203,1.6708475912083778,897,0.11007238311540846,0.19863805281040925
150,1.670846850824839,902,0.5529007315904124,0.6414664012854132
219,1.6708467289608233,900,0.37576939220041083,0.4643350618954116
151,1.670846850824839,906,0.9071634103704156,0.9957290800654164
61,1.6708465832498804,898,0.19863805281040925,0.28720372250541004
49,1.6708474828960567,898,0.19863805281040925,0.28720372250541004
145,1.6708475018227107,902,0.5529007315904124,0.6414664012854132
84,1.6708479602509694,895,-0.06705895627459313,0.021506713420407664
228,1.6708462415045369,899,0.28720372250541004,0.37576939220041083
22,1.6708470353455758,904,0.730032070980414,0.8185977406754148
228,1.67084691233174,906,0.9071634103704156,0.9957290800654164
18,1.670846670903149,898,0.19863805281040925,0.28720372250541004
90,1.6708469738386522,897,0.11007238311540846,0.19863805281040925
8,1.6708260777461181,898,0.19863805281040925,0.28720372250541004
154,1.6708540513439594,901,0.4643350618954116,0.5529007315904124
94,1.6708517681162716,897,0.11007238311540846,0.19863805281040925
221,1.670846552488132,896,0.021506713420407664,0.11007238311540846
156,1.6708460929105038,895,-0.06705895627459313,0.021506713420407664
74,1.670846850824839,906,0.9071634103704156,0.9957290800654164
91,1.67084691233174,903,0.6414664012854132,0.730032070980414
