pickup_zone,avg_passenger_count,bkt_total_amount,total_amount_start,total_amount_end
43,1.6708466395748214,29,97.57130682675768,133.98411051043888
215,1.67084691233174,32,206.80971787780152,243.22252156148272
154,1.670847281373383,25,-48.079907907967595,-11.667104224286277
5,1.670846759139389,37,388.873736296208,425.2865399798892
239,1.670846667453939,40,498.11214734725183,534.5249510309333
74,1.6708543840100036,26,-11.667104224286277,24.74569945939504
199,1.6708469465426987,28,61.15850314307636,97.57130682675768
154,1.6708468206462816,48,789.4145768167024,825.8273805003836
91,1.670846850824839,34,279.63532524516415,316.04812892884536
180,1.670846484083039,24,-84.4927115916488,-48.079907907967595
248,1.6707156081328585,27,24.74569945939504,61.15850314307636
117,1.6706564153245889,27,24.74569945939504,61.15850314307636
55,1.670867125389231,26,-11.667104224286277,24.74569945939504
