pickup_zone,avg_tip_percentage,bkt_tip_amount,tip_amount_start,tip_amount_end
175,0.10227175521476849,92,20.56622214239607,23.189768035248193
65,0.10226605477720407,85,2.2014008924311668,4.824946785283288
117,0.10226238768247704,89,12.69558446383968,15.319130356691801
155,0.10227150697986319,85,2.2014008924311668,4.824946785283288
96,0.10226774465238297,86,4.824946785283288,7.448492678135409
69,0.10227226610815138,84,-0.4221450004209828,2.2014008924311668
131,0.1022714167529902,107,59.91941053517803,62.54295642803015
15,0.10227149393638893,93,23.189768035248193,25.813313928100342
-1,0.10227172268839471,179,248.8147148205315,251.4382607133836
84,0.1022717055224115,95,28.436859820952463,31.060405713804585
77,0.10227177187627062,87,7.448492678135409,10.072038570987559
141,0.10227175431459665,93,23.189768035248193,25.813313928100342
96,0.10227170585927732,105,54.67231874947379,57.29586464232591
8,0.10225968983640137,87,7.448492678135409,10.072038570987559
