pickup_zone,avg_trip_distance,bkt_total_amount,total_amount_start,total_amount_end
215,4.648190355514697,32,206.80971787780152,243.22252156148272
154,4.648200399583533,25,-48.079907907967595,-11.667104224286277
5,4.648190606898749,37,388.873736296208,425.2865399798892
239,4.648185234131381,40,498.11214734725183,534.5249510309333
74,4.6482831422483635,26,-11.667104224286277,24.74569945939504
199,4.6480739988294575,28,61.15850314307636,97.57130682675768
154,4.648196946782299,48,789.4145768167024,825.8273805003836
91,4.6481961116931645,34,279.63532524516415,316.04812892884536
180,4.64819766759525,24,-84.4927115916488,-48.079907907967595
248,3.9049703894086742,27,24.74569945939504,61.15850314307636
117,4.633620692304954,27,24.74569945939504,61.15850314307636
55,4.648462308059327,26,-11.667104224286277,24.74569945939504
239,4.648198042258313,53,971.4785952351089,1007.8913989187901
247,4.648209145410264,26,-11.667104224286277,24.74569945939504
