pickup_zone,avg_total_amount,bkt_trip_distance,trip_distance_start,trip_distance_end
240,15.917303015031239,0,0.0,2981.095465503512
119,15.6414004325896,0,0.0,2981.095465503512
94,15.640658765977317,0,0.0,2981.095465503512
171,15.65556712796589,0,0.0,2981.095465503512
151,15.64138195305157,0,0.0,2981.095465503512
212,15.641214441410987,0,0.0,2981.095465503512
102,15.6413901521001,0,0.0,2981.095465503512
245,15.638099567407654,0,0.0,2981.095465503512
125,15.641382855964881,0,0.0,2981.095465503512
167,15.641396593537442,0,0.0,2981.095465503512
117,15.728922129130614,0,0.0,2981.095465503512
251,15.641250955331984,0,0.0,2981.095465503512
191,15.640230880936468,0,0.0,2981.095465503512
182,15.641390769173816,0,0.0,2981.095465503512
49,15.641652311767986,0,0.0,2981.095465503512
32,15.641353656696705,0,0.0,2981.095465503512
176,15.641391536295608,0,0.0,2981.095465503512
126,15.640896384001717,0,0.0,2981.095465503512
180,15.641059043744386,0,0.0,2981.095465503512
140,15.641397308683953,0,0.0,2981.095465503512
16,15.641388677415696,0,0.0,2981.095465503512
122,15.641183859669963,0,0.0,2981.095465503512
52,15.641313010468252,0,0.0,2981.095465503512
219,15.634521115253856,0,0.0,2981.095465503512
75,15.700573216750122,0,0.0,2981.095465503512
224,15.641392633364427,0,0.0,2981.095465503512
248,15.641394713985719,2683,7998279.133945923,8001260.229411426
248,15.703994996490186,0,0.0,2981.095465503512
74,15.640723867961285,0,0.0,2981.095465503512
41,15.641396914436518,212,631992.2386867446,634973.3341522481
96,15.641482318826688,0,0.0,2981.095465503512
41,15.844257649862016,0,0.0,2981.095465503512
216,15.641362687031798,0,0.0,2981.095465503512
61,15.64118181028217,0,0.0,2981.095465503512
63,15.641169795706116,0,0.0,2981.095465503512
15,15.641990631797498,0,0.0,2981.095465503512
54,15.64138290145662,0,0.0,2981.095465503512
5,15.641178669630014,0,0.0,2981.095465503512
86,15.640792816791281,0,0.0,2981.095465503512
175,15.641306204745453,0,0.0,2981.095465503512
17,15.64129332610634,0,0.0,2981.095465503512
105,15.641494301935591,0,0.0,2981.095465503512
217,15.641383902155024,0,0.0,2981.095465503512
258,15.641382184378855,0,0.0,2981.095465503512
