pickup_zone,avg_total_amount,bkt_tip_amount,tip_amount_start,tip_amount_end
129,15.641395016547705,92,20.56622214239607,23.189768035248193
130,15.641384283439752,86,4.824946785283288,7.448492678135409
135,15.641394484772093,94,25.813313928100342,28.436859820952463
248,15.641367376260472,141,149.1199708921505,151.74351678500267
116,15.641371860596243,101,44.17813517806525,46.80168107091737
143,15.641381226265814,94,25.813313928100342,28.436859820952463
219,15.64134601263182,102,46.80168107091737,49.425226963769546
175,15.64138174520551,92,20.56622214239607,23.189768035248193
65,15.640999762112235,85,2.2014008924311668,4.824946785283288
117,15.636256082114496,89,12.69558446383968,15.319130356691801
155,15.641383776402153,85,2.2014008924311668,4.824946785283288
96,15.640599060454713,86,4.824946785283288,7.448492678135409
69,15.641379256450858,84,-0.4221450004209828,2.2014008924311668
131,15.64118166100479,107,59.91941053517803,62.54295642803015
15,15.641386633338696,93,23.189768035248193,25.813313928100342
-1,15.64136519127083,179,248.8147148205315,251.4382607133836
84,15.641394255558469,95,28.436859820952463,31.060405713804585
77,15.641385958152322,87,7.448492678135409,10.072038570987559
141,15.641391092410444,93,23.189768035248193,25.813313928100342
96,15.64139168836587,105,54.67231874947379,57.29586464232591
8,15.636275005580195,87,7.448492678135409,10.072038570987559
253,15.637601167655585,85,2.2014008924311668,4.824946785283288
181,15.641403910814962,84,-0.4221450004209828,2.2014008924311668
243,15.641375286413744,85,2.2014008924311668,4.824946785283288
114,15.641360517520814,122,99.27259892796002,101.89614482081214
70,15.641085652974525,93,23.189768035248193,25.813313928100342
228,15.641393751288494,97,33.683951606656734,36.307497499508884
130,15.641390268643537,85,2.2014008924311668,4.824946785283288
240,15.641361796408333,126,109.76678249936856,112.39032839222068
154,15.64134406939303,105,54.67231874947379,57.29586464232591
136,15.64139086319682,107,59.91941053517803,62.54295642803015
14,15.64139480017004,85,2.2014008924311668,4.824946785283288
236,15.64138138867573,89,12.69558446383968,15.319130356691801
41,15.64135896882854,108,62.54295642803015,65.16650232088233
127,15.641386254169252,127,112.39032839222068,115.0138742850728
178,15.641390584473053,92,20.56622214239607,23.189768035248193
14,15.641372980866661,112,73.0371399994387,75.66068589229081
171,15.636926710275942,85,2.2014008924311668,4.824946785283288
118,15.641389328434212,85,2.2014008924311668,4.824946785283288
178,15.641381340275103,85,2.2014008924311668,4.824946785283288
9,15.641387976022003,93,23.189768035248193,25.813313928100342
63,15.641393888816669,93,23.189768035248193,25.813313928100342
128,15.641385976362338,107,59.91941053517803,62.54295642803015
239,15.641385151193289,109,65.16650232088233,67.79004821373445
180,15.641392695988966,103,49.425226963769546,52.04877285662167
140,15.641397308683953,84,-0.4221450004209828,2.2014008924311668
15,15.641390744005736,97,33.683951606656734,36.307497499508884
248,15.758900108193073,84,-0.4221450004209828,2.2014008924311668
248,15.641391904743532,102,46.80168107091737,49.425226963769546
96,15.640712766123025,85,2.2014008924311668,4.824946785283288
45,15.641332106514305,91,17.94267624954395,20.56622214239607
109,15.641372330618807,86,4.824946785283288,7.448492678135409
43,15.641361065425583,225,369.4978258917295,372.12137178458164
17,15.641384562290568,86,4.824946785283288,7.448492678135409
61,15.641391980180849,93,23.189768035248193,25.813313928100342
47,15.641394207220838,85,2.2014008924311668,4.824946785283288
77,15.641391372051068,89,12.69558446383968,15.319130356691801
86,15.641389368723987,100,41.554589285213126,44.17813517806525
9,15.641393402883786,98,36.307497499508884,38.931043392361005
30,15.64138811263332,93,23.189768035248193,25.813313928100342
155,15.641373780363784,103,49.425226963769546,52.04877285662167
128,15.641388910296739,99,38.931043392361005,41.554589285213126
78,15.641391169426223,88,10.072038570987559,12.69558446383968
154,16.334213706537803,84,-0.4221450004209828,2.2014008924311668
45,15.645743400246921,84,-0.4221450004209828,2.2014008924311668
137,15.526286917432529,84,-0.4221450004209828,2.2014008924311668
126,15.641585847353369,84,-0.4221450004209828,2.2014008924311668
171,15.640218350614747,87,7.448492678135409,10.072038570987559
109,15.641383391350848,85,2.2014008924311668,4.824946785283288
203,15.641391621284187,85,2.2014008924311668,4.824946785283288
31,15.641387351644088,104,52.04877285662167,54.67231874947379
242,15.641393360836231,85,2.2014008924311668,4.824946785283288
131,15.641380961168224,152,177.97897571352394,180.60252160637606
68,15.641393448726511,98,36.307497499508884,38.931043392361005
71,15.641362805615426,125,107.14323660651638,109.76678249936856
87,15.641386508137947,102,46.80168107091737,49.425226963769546
256,15.641394943199343,90,15.319130356691801,17.94267624954395
49,15.641105351855286,86,4.824946785283288,7.448492678135409
