pickup_zone,avg_tip_amount,bkt_total_amount,total_amount_start,total_amount_end
180,1.7510809059320371,26,-11.667104224286277,24.74569945939504
41,1.7506405781705112,33,243.22252156148272,279.63532524516415
19,1.750662284348399,28,61.15850314307636,97.57130682675768
183,1.750658911240695,34,279.63532524516415,316.04812892884536
83,1.7506620157100306,32,206.80971787780152,243.22252156148272
150,1.75075821470653,26,-11.667104224286277,24.74569945939504
47,1.7506667915443275,26,-11.667104224286277,24.74569945939504
105,1.7506496108834342,28,61.15850314307636,97.57130682675768
43,1.7506539120527882,29,97.57130682675768,133.98411051043888
215,1.75066028199871,32,206.80971787780152,243.22252156148272
154,1.7506645604077806,25,-48.079907907967595,-11.667104224286277
5,1.7506548963348414,37,388.873736296208,425.2865399798892
239,1.7506634368345049,40,498.11214734725183,534.5249510309333
74,1.750693154189202,26,-11.667104224286277,24.74569945939504
199,1.7505225079386206,28,61.15850314307636,97.57130682675768
154,1.7506635973448845,48,789.4145768167024,825.8273805003836
91,1.7506581575862965,34,279.63532524516415,316.04812892884536
180,1.750663620205405,24,-84.4927115916488,-48.079907907967595
248,1.7441834565769292,27,24.74569945939504,61.15850314307636
117,1.7427110110214514,27,24.74569945939504,61.15850314307636
55,1.7507669034263755,26,-11.667104224286277,24.74569945939504
239,1.7505722429234902,53,971.4785952351089,1007.8913989187901
247,1.7506700523837269,26,-11.667104224286277,24.74569945939504
160,1.7506622339760227,27,24.74569945939504,61.15850314307636
210,1.7506628895939236,27,24.74569945939504,61.15850314307636
74,1.7506619204785396,32,206.80971787780152,243.22252156148272
219,1.7506585547050544,35,316.04812892884536,352.4609326125268
75,1.75066475258166,25,-48.079907907967595,-11.667104224286277
94,1.750655510627356,36,352.4609326125268,388.873736296208
193,1.7506022641333137,27,24.74569945939504,61.15850314307636
53,1.7506910116678158,26,-11.667104224286277,24.74569945939504
155,1.7506634368345049,25,-48.079907907967595,-11.667104224286277
235,1.7506404287231458,31,170.3969141941203,206.80971787780152
158,1.7506359311995172,34,279.63532524516415,316.04812892884536
137,1.7506513894858264,36,352.4609326125268,388.873736296208
155,1.7506588170462973,28,61.15850314307636,97.57130682675768
70,1.7506634368345049,50,862.2401841840648,898.6529878677462
188,1.7506634368345049,32,206.80971787780152,243.22252156148272
58,1.7506528643326793,27,24.74569945939504,61.15850314307636
219,1.7506593340919734,33,243.22252156148272,279.63532524516415
253,1.7506634368345049,24,-84.4927115916488,-48.079907907967595
199,1.7506590974225882,32,206.80971787780152,243.22252156148272
216,1.7506634368345049,32,206.80971787780152,243.22252156148272
14,1.750656560425758,33,243.22252156148272,279.63532524516415
-1,1.7506634368345049,15,-412.20794474478055,-375.79514106109923
235,1.7506498445261298,33,243.22252156148272,279.63532524516415
255,1.7506634368345049,31,170.3969141941203,206.80971787780152
33,1.7506601315740338,30,133.98411051043888,170.3969141941203
127,1.7506511813001127,29,97.57130682675768,133.98411051043888
13,1.7506606816867336,29,97.57130682675768,133.98411051043888
66,1.7506635973448845,26,-11.667104224286277,24.74569945939504
8,1.7457335531306857,27,24.74569945939504,61.15850314307636
236,1.7508017725886613,26,-11.667104224286277,24.74569945939504
255,1.7506361978529905,27,24.74569945939504,61.15850314307636
139,1.7506633609180433,27,24.74569945939504,61.15850314307636
196,1.7506438755797267,27,24.74569945939504,61.15850314307636
79,1.7506608321114603,31,170.3969141941203,206.80971787780152
132,1.7506614236645954,30,133.98411051043888,170.3969141941203
132,1.7506593773655126,28,61.15850314307636,97.57130682675768
196,1.7506594659981307,33,243.22252156148272,279.63532524516415
63,1.7506634368345049,25,-48.079907907967595,-11.667104224286277
216,1.7506606408357048,27,24.74569945939504,61.15850314307636
199,1.750661009125,31,170.3969141941203,206.80971787780152
136,1.7506640788762002,24,-84.4927115916488,-48.079907907967595
47,1.7506608696419061,29,97.57130682675768,133.98411051043888
240,1.7383034921263334,27,24.74569945939504,61.15850314307636
172,1.7498910346761587,27,24.74569945939504,61.15850314307636
50,1.7506661449158827,26,-11.667104224286277,24.74569945939504
251,1.7506604937921189,31,170.3969141941203,206.80971787780152
164,1.750665689117428,24,-84.4927115916488,-48.079907907967595
72,1.7506634368345049,36,352.4609326125268,388.873736296208
251,1.7506606862710061,28,61.15850314307636,97.57130682675768
17,1.7506634368345049,30,133.98411051043888,170.3969141941203
45,1.7506634368345049,39,461.69934366357063,498.11214734725183
245,1.7513572114676847,26,-11.667104224286277,24.74569945939504
80,1.7506634368345049,26,-11.667104224286277,24.74569945939504
