pickup_zone,avg_trip_distance,bkt_tip_amount,tip_amount_start,tip_amount_end
178,4.648196636133938,92,20.56622214239607,23.189768035248193
14,4.648191708957857,112,73.0371399994387,75.66068589229081
171,4.650779022880447,85,2.2014008924311668,4.824946785283288
118,4.648199824990208,85,2.2014008924311668,4.824946785283288
178,4.64819587950213,85,2.2014008924311668,4.824946785283288
9,4.648195356205056,93,23.189768035248193,25.813313928100342
63,4.648197740026755,93,23.189768035248193,25.813313928100342
128,4.648196328070826,107,59.91941053517803,62.54295642803015
239,4.648196474767546,109,65.16650232088233,67.79004821373445
180,4.648197740026755,103,49.425226963769546,52.04877285662167
140,4.648197740026755,84,-0.4221450004209828,2.2014008924311668
15,4.6481967369879325,97,33.683951606656734,36.307497499508884
248,3.9698804954140505,84,-0.4221450004209828,2.2014008924311668
248,4.648197576826654,102,46.80168107091737,49.425226963769546
96,4.648411621284118,85,2.2014008924311668,4.824946785283288
45,4.648187998201612,91,17.94267624954395,20.56622214239607
109,4.648192953726138,86,4.824946785283288,7.448492678135409
43,4.648197136736495,225,369.4978258917295,372.12137178458164
17,4.648196523450926,86,4.824946785283288,7.448492678135409
61,4.648198473180008,93,23.189768035248193,25.813313928100342
47,4.648197501314059,85,2.2014008924311668,4.824946785283288
77,4.648196063099875,89,12.69558446383968,15.319130356691801
86,4.648196988206065,100,41.554589285213126,44.17813517806525
9,4.648197740026755,98,36.307497499508884,38.931043392361005
30,4.648196296897773,93,23.189768035248193,25.813313928100342
155,4.648197740026755,103,49.425226963769546,52.04877285662167
128,4.648197740026755,99,38.931043392361005,41.554589285213126
78,4.64819604567964,88,10.072038570987559,12.69558446383968
154,5.090913530417167,84,-0.4221450004209828,2.2014008924311668
45,4.651806764009674,84,-0.4221450004209828,2.2014008924311668
137,4.619901300507768,84,-0.4221450004209828,2.2014008924311668
126,4.648358867041957,84,-0.4221450004209828,2.2014008924311668
171,4.64798318880818,87,7.448492678135409,10.072038570987559
109,4.648199991876393,85,2.2014008924311668,4.824946785283288
203,4.648197518073252,85,2.2014008924311668,4.824946785283288
31,4.6481961813741055,104,52.04877285662167,54.67231874947379
242,4.648196941281172,85,2.2014008924311668,4.824946785283288
131,4.648194696069816,152,177.97897571352394,180.60252160637606
68,4.648197740026755,98,36.307497499508884,38.931043392361005
71,4.648192165551398,125,107.14323660651638,109.76678249936856
87,4.648196080520111,102,46.80168107091737,49.425226963769546
256,4.648197537401911,90,15.319130356691801,17.94267624954395
49,4.648151824017114,86,4.824946785283288,7.448492678135409
37,4.648199565758523,84,-0.4221450004209828,2.2014008924311668
70,4.648066660957362,88,10.072038570987559,12.69558446383968
