pickup_zone,avg_total_amount,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
137,15.641380197650468,904,0.730032070980414,0.8185977406754148
6,15.641392543918794,906,0.9071634103704156,0.9957290800654164
140,15.641397308683953,895,-0.06705895627459313,0.021506713420407664
106,15.660402973689429,897,0.11007238311540846,0.19863805281040925
90,15.641346608111698,895,-0.06705895627459313,0.021506713420407664
210,15.641398142085164,895,-0.06705895627459313,0.021506713420407664
203,15.641386183108564,897,0.11007238311540846,0.19863805281040925
150,15.641392143125703,902,0.5529007315904124,0.6414664012854132
219,15.641383330447084,900,0.37576939220041083,0.4643350618954116
151,15.641393797131219,906,0.9071634103704156,0.9957290800654164
61,15.641279475201843,898,0.19863805281040925,0.28720372250541004
49,15.641364794112546,898,0.19863805281040925,0.28720372250541004
145,15.641376490864024,902,0.5529007315904124,0.6414664012854132
