pickup_zone,avg_passenger_count,bkt_tip_amount,tip_amount_start,tip_amount_end
109,1.6708470086165172,86,4.824946785283288,7.448492678135409
43,1.670846850824839,225,369.4978258917295,372.12137178458164
17,1.6708464248755208,86,4.824946785283288,7.448492678135409
61,1.6708468821531854,93,23.189768035248193,25.813313928100342
47,1.6708468821531854,85,2.2014008924311668,4.824946785283288
77,1.670846850824839,89,12.69558446383968,15.319130356691801
86,1.670846850824839,100,41.554589285213126,44.17813517806525
9,1.670846850824839,98,36.307497499508884,38.931043392361005
30,1.670846484083039,93,23.189768035248193,25.813313928100342
155,1.670846850824839,103,49.425226963769546,52.04877285662167
128,1.670846850824839,99,38.931043392361005,41.554589285213126
78,1.670846850824839,88,10.072038570987559,12.69558446383968
154,1.669616040718206,84,-0.4221450004209828,2.2014008924311668
45,1.6708464925745468,84,-0.4221450004209828,2.2014008924311668
137,1.6701722365254486,84,-0.4221450004209828,2.2014008924311668
126,1.6708505839496577,84,-0.4221450004209828,2.2014008924311668
171,1.6708479634710733,87,7.448492678135409,10.072038570987559
109,1.670846496729616,85,2.2014008924311668,4.824946785283288
203,1.6708470364954133,85,2.2014008924311668,4.824946785283288
31,1.670846759139389,104,52.04877285662167,54.67231874947379
242,1.67084691233174,85,2.2014008924311668,4.824946785283288
131,1.670846850824839,152,177.97897571352394,180.60252160637606
68,1.670846850824839,98,36.307497499508884,38.931043392361005
71,1.670846759139389,125,107.14323660651638,109.76678249936856
87,1.670846850824839,102,46.80168107091737,49.425226963769546
256,1.670846850824839,90,15.319130356691801,17.94267624954395
49,1.670847106636702,86,4.824946785283288,7.448492678135409
37,1.670847223316082,84,-0.4221450004209828,2.2014008924311668
70,1.670846255872791,88,10.072038570987559,12.69558446383968
-1,1.6708484023033348,96,31.060405713804585,33.683951606656734
212,1.670846850824839,93,23.189768035248193,25.813313928100342
6,1.6708470666739648,90,15.319130356691801,17.94267624954395
164,1.6708473463301328,94,25.813313928100342,28.436859820952463
0,1.6708470353455758,86,4.824946785283288,7.448492678135409
86,1.6708467312603301,89,12.69558446383968,15.319130356691801
215,1.6708470364954133,94,25.813313928100342,28.436859820952463
151,1.670846667453939,89,12.69558446383968,15.319130356691801
26,1.670846850824839,88,10.072038570987559,12.69558446383968
31,1.670846759139389,133,128.13160374933346,130.7551496421856
253,1.67084691233174,103,49.425226963769546,52.04877285662167
206,1.6708467301105763,89,12.69558446383968,15.319130356691801
172,1.670846759139389,96,31.060405713804585,33.683951606656734
8,1.6708697512326522,86,4.824946785283288,7.448492678135409
136,1.6708457503073548,90,15.319130356691801,17.94267624954395
