pickup_zone,avg_tip_amount,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
229,1.7506004097466892,902,0.5529007315904124,0.6414664012854132
127,1.7506626116654553,904,0.730032070980414,0.8185977406754148
112,1.7506633956368762,896,0.021506713420407664,0.11007238311540846
109,1.7506628867218053,902,0.5529007315904124,0.6414664012854132
4,1.7506628683847152,898,0.19863805281040925,0.28720372250541004
144,1.7506606862710061,904,0.730032070980414,0.8185977406754148
136,1.7480106092065895,898,0.19863805281040925,0.28720372250541004
120,1.7506628638612176,896,0.021506713420407664,0.11007238311540846
61,1.7506544343433548,900,0.37576939220041083,0.4643350618954116
51,1.7506591562118226,899,0.28720372250541004,0.37576939220041083
91,1.7506549788517463,905,0.8185977406754148,0.9071634103704156
239,1.7225071964458856,897,0.11007238311540846,0.19863805281040925
118,1.7506931317556973,895,-0.06705895627459313,0.021506713420407664
64,1.7506643851742036,896,0.021506713420407664,0.11007238311540846
242,1.7506677706250866,895,-0.06705895627459313,0.021506713420407664
93,1.7506634647051205,896,0.021506713420407664,0.11007238311540846
132,1.7506381832857412,898,0.19863805281040925,0.28720372250541004
137,1.7505213114119231,900,0.37576939220041083,0.4643350618954116
2,1.7506631617781552,896,0.021506713420407664,0.11007238311540846
85,1.7506099615754394,906,0.9071634103704156,0.9957290800654164
193,1.7506606359045793,901,0.4643350618954116,0.5529007315904124
143,1.7506552952867107,904,0.730032070980414,0.8185977406754148
212,1.7506585775056571,906,0.9071634103704156,0.9957290800654164
39,1.7601342025458746,895,-0.06705895627459313,0.021506713420407664
13,1.7506578848462033,897,0.11007238311540846,0.19863805281040925
103,1.7506597925193492,896,0.021506713420407664,0.11007238311540846
43,1.7506192904039095,906,0.9071634103704156,0.9957290800654164
217,1.7506635973448845,895,-0.06705895627459313,0.021506713420407664
158,1.7506359311995172,906,0.9071634103704156,0.9957290800654164
89,1.750663345149055,896,0.021506713420407664,0.11007238311540846
38,1.750662203665203,897,0.11007238311540846,0.19863805281040925
53,1.7506623366091054,902,0.5529007315904124,0.6414664012854132
172,1.7508471387110232,896,0.021506713420407664,0.11007238311540846
55,1.750793409455548,895,-0.06705895627459313,0.021506713420407664
126,1.7505754932112358,897,0.11007238311540846,0.19863805281040925
68,1.7506511687626622,904,0.730032070980414,0.8185977406754148
172,1.7506404635008943,899,0.28720372250541004,0.37576939220041083
79,1.7506530535171727,904,0.730032070980414,0.8185977406754148
141,1.7506561019985083,905,0.8185977406754148,0.9071634103704156
196,1.7506042046626724,898,0.19863805281040925,0.28720372250541004
259,1.750656565431413,901,0.4643350618954116,0.5529007315904124
113,1.7506517474961567,899,0.28720372250541004,0.37576939220041083
86,1.7506413408762713,900,0.37576939220041083,0.4643350618954116
242,1.7506624209597197,898,0.19863805281040925,0.28720372250541004
157,1.749108838645186,897,0.11007238311540846,0.19863805281040925
150,1.7507940084972204,895,-0.06705895627459313,0.021506713420407664
39,1.750646594691614,904,0.730032070980414,0.8185977406754148
237,1.7506620811102163,898,0.19863805281040925,0.28720372250541004
151,1.7506566215263664,897,0.11007238311540846,0.19863805281040925
133,1.7506193086174286,897,0.11007238311540846,0.19863805281040925
6,1.7506576607717534,905,0.8185977406754148,0.9071634103704156
150,1.7506559738794514,901,0.4643350618954116,0.5529007315904124
88,1.7506603883538419,901,0.4643350618954116,0.5529007315904124
127,1.7506625199800054,902,0.5529007315904124,0.6414664012854132
143,1.750654451900424,905,0.8185977406754148,0.9071634103704156
25,1.7506613968938838,903,0.6414664012854132,0.730032070980414
93,1.750662405433926,899,0.28720372250541004,0.37576939220041083
78,1.7506630838455226,896,0.021506713420407664,0.11007238311540846
8,1.7551647067395113,895,-0.06705895627459313,0.021506713420407664
15,1.7506248456831777,901,0.4643350618954116,0.5529007315904124
106,1.7506360423721752,906,0.9071634103704156,0.9957290800654164
117,1.7505752710026545,903,0.6414664012854132,0.730032070980414
31,1.7506628408790803,903,0.6414664012854132,0.730032070980414
186,1.750661144698256,902,0.5529007315904124,0.6414664012854132
178,1.7506581882649188,896,0.021506713420407664,0.11007238311540846
17,1.7506572022239077,906,0.9071634103704156,0.9957290800654164
71,1.750781731870042,895,-0.06705895627459313,0.021506713420407664
245,1.750042895480988,897,0.11007238311540846,0.19863805281040925
248,1.7505328795552568,900,0.37576939220041083,0.4643350618954116
46,1.7506822158317936,895,-0.06705895627459313,0.021506713420407664
26,1.7506562253239817,897,0.11007238311540846,0.19863805281040925
114,1.7506073832461868,902,0.5529007315904124,0.6414664012854132
228,1.7506626586073035,900,0.37576939220041083,0.4643350618954116
191,1.7506568814452859,904,0.730032070980414,0.8185977406754148
74,1.750659632009289,902,0.5529007315904124,0.6414664012854132
48,1.75066298409074,897,0.11007238311540846,0.19863805281040925
