pickup_zone,avg_trip_distance,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
137,4.648197896238688,904,0.730032070980414,0.8185977406754148
6,4.648198165282041,906,0.9071634103704156,0.9957290800654164
140,4.648197740026755,895,-0.06705895627459313,0.021506713420407664
106,4.67499384894215,897,0.11007238311540846,0.19863805281040925
90,4.648182437559138,895,-0.06705895627459313,0.021506713420407664
210,4.648198516363182,895,-0.06705895627459313,0.021506713420407664
203,4.648199821066129,897,0.11007238311540846,0.19863805281040925
150,4.648197317356831,902,0.5529007315904124,0.6414664012854132
219,4.64819600884006,900,0.37576939220041083,0.4643350618954116
151,4.648197740026755,906,0.9071634103704156,0.9957290800654164
61,4.648268232163042,898,0.19863805281040925,0.28720372250541004
49,4.648274990388422,898,0.19863805281040925,0.28720372250541004
145,4.648203698378893,902,0.5529007315904124,0.6414664012854132
